MSA,State,County,rent50_2,rent50_0,rent50_1,rent50_3,rent50_4,State_Alpha,CountyName,pop,FMRtype,msaname,StateName,FMRArea
6690,6,89,613,441,489,851,1003,CA,Shasta,147036,40,"Redding, CA",CALIFORNIA,6690
6780,6,65,732,538,599,1015,1200,CA,Riverside,1170413,40,"Riverside-San Bernardino, CA",CALIFORNIA,6780
6780,6,71,732,538,599,1015,1200,CA,San Bernardino,1418380,40,"Riverside-San Bernardino, CA",CALIFORNIA,6780
6920,6,17,918,651,733,1273,1501,CA,El Dorado,125995,50,"Sacramento, CA",CALIFORNIA,6920
6920,6,61,918,651,733,1273,1501,CA,Placer,172796,50,"Sacramento, CA",CALIFORNIA,6920
6920,6,67,918,651,733,1273,1501,CA,Sacramento,1041219,50,"Sacramento, CA",CALIFORNIA,6920
7120,6,53,1037,735,860,1441,1512,CA,Monterey,355660,40,"Salinas, CA",CALIFORNIA,7120
7320,6,73,1095,766,875,1524,1796,CA,San Diego,2498016,50,"San Diego, CA",CALIFORNIA,7320
7360,6,41,2053,1254,1624,2815,2980,CA,Marin,230096,40,"San Francisco, CA",CALIFORNIA,7360
7360,6,75,2053,1254,1624,2815,2980,CA,San Francisco,723959,40,"San Francisco, CA",CALIFORNIA,7360
7360,6,81,2053,1254,1624,2815,2980,CA,San Mateo,649623,40,"San Francisco, CA",CALIFORNIA,7360
7400,6,85,1760,1250,1425,2412,2709,CA,Santa Clara,1497577,50,"San Jose, CA",CALIFORNIA,7400
7460,6,79,942,658,743,1309,1546,CA,San Luis Obispo,217162,40,"San Luis Obispo-Atascadero-Paso Robles, CA",CALIFORNIA,7460
7480,6,83,1080,768,853,1506,1700,CA,Santa Barbara,369608,40,"Santa Barbara-Santa Maria-Lompoc, CA",CALIFORNIA,7480
7485,6,87,1380,868,1033,1919,2247,CA,Santa Cruz,229734,40,"Santa Cruz-Watsonville, CA",CALIFORNIA,7485
7500,6,97,1177,801,908,1636,1931,CA,Sonoma,388222,40,"Santa Rosa, CA",CALIFORNIA,7500
8120,6,77,767,528,597,1067,1259,CA,San Joaquin,480628,40,"Stockton-Lodi, CA",CALIFORNIA,8120
8720,6,55,1134,819,930,1575,1860,CA,Napa,110765,40,"Vallejo-Fairfield-Napa, CA",CALIFORNIA,8720
8720,6,95,1134,819,930,1575,1860,CA,Solano,340421,40,"Vallejo-Fairfield-Napa, CA",CALIFORNIA,8720
8735,6,111,1081,743,854,1437,1675,CA,Ventura,669016,50,"Ventura, CA",CALIFORNIA,8735
8780,6,107,605,437,464,845,964,CA,Tulare,311921,40,"Visalia-Tulare-Porterville, CA",CALIFORNIA,8780
9270,6,113,793,562,641,1099,1298,CA,Yolo,141092,40,"Yolo, CA",CALIFORNIA,9270
9340,6,101,584,388,454,814,941,CA,Sutter,64415,40,"Yuba City, CA",CALIFORNIA,9340
9340,6,115,584,388,454,814,941,CA,Yuba,58228,40,"Yuba City, CA",CALIFORNIA,9340
10000,6,3,592,349,523,823,886,CA,Alpine,1113,40,,CALIFORNIA,600003
10000,6,5,718,488,538,1000,1114,CA,Amador,30039,40,,CALIFORNIA,600005
10000,6,9,673,436,506,938,1105,CA,Calaveras,31998,40,,CALIFORNIA,600009
10000,6,11,556,387,432,775,897,CA,Colusa,16275,40,,CALIFORNIA,600011
10000,6,15,652,358,491,909,1072,CA,Del Norte,23460,40,,CALIFORNIA,600015
10000,6,21,556,353,432,775,897,CA,Glenn,24798,40,,CALIFORNIA,600021
10000,6,23,668,368,510,932,1103,CA,Humboldt,119118,40,,CALIFORNIA,600023
10000,6,25,608,395,494,848,888,CA,Imperial,109303,40,,CALIFORNIA,600025
10000,6,27,634,366,495,832,897,CA,Inyo,18281,40,,CALIFORNIA,600027
10000,6,31,583,401,467,811,954,CA,Kings,101469,40,,CALIFORNIA,600031
10000,6,33,686,404,513,864,1124,CA,Lake,50631,40,,CALIFORNIA,600033
10000,6,35,570,433,439,777,899,CA,Lassen,27598,40,,CALIFORNIA,600035
10000,6,43,635,389,494,832,981,CA,Mariposa,14302,40,,CALIFORNIA,600043
10000,6,45,727,492,593,1013,1020,CA,Mendocino,80345,40,,CALIFORNIA,600045
10000,6,49,556,387,432,775,897,CA,Modoc,9678,40,,CALIFORNIA,600049
10000,6,51,854,536,642,1188,1404,CA,Mono,9956,40,,CALIFORNIA,600051
10000,6,57,825,453,620,1148,1329,CA,Nevada,78510,40,,CALIFORNIA,600057
10000,6,63,556,390,432,775,897,CA,Plumas,19739,40,,CALIFORNIA,600063
10000,6,69,889,604,710,1238,1449,CA,San Benito,36697,40,,CALIFORNIA,600069
10000,6,91,577,349,469,801,945,CA,Sierra,3318,40,,CALIFORNIA,600091
10000,6,93,556,371,432,775,897,CA,Siskiyou,43531,40,,CALIFORNIA,600093
10000,6,103,556,369,432,775,897,CA,Tehama,49625,40,,CALIFORNIA,600103
10000,6,105,556,397,432,775,897,CA,Trinity,13063,40,,CALIFORNIA,600105
10000,6,109,715,393,536,996,1173,CA,Tuolumne,48456,40,,CALIFORNIA,600109
1125,8,13,1028,669,801,1432,1687,CO,Boulder,225339,40,"Boulder-Longmont, CO",COLORADO,1125
1720,8,41,730,510,548,1017,1201,CO,El Paso,397014,40,"Colorado Springs, CO",COLORADO,1720
2080,8,1,945,595,710,1311,1548,CO,Adams,265038,50,"Denver, CO",COLORADO,2080
2080,8,5,945,595,710,1311,1548,CO,Arapahoe,391511,50,"Denver, CO",COLORADO,2080
2080,8,31,945,595,710,1311,1548,CO,Denver,467610,50,"Denver, CO",COLORADO,2080
2080,8,35,945,595,710,1311,1548,CO,Douglas,60391,50,"Denver, CO",COLORADO,2080
2080,8,59,945,595,710,1311,1548,CO,Jefferson,438430,50,"Denver, CO",COLORADO,2080
2670,8,69,779,511,632,1083,1279,CO,Larimer,186136,40,"Fort Collins-Loveland, CO",COLORADO,2670
2995,8,77,601,462,480,810,964,CO,Mesa,93145,40,"Grand Junction, CO",COLORADO,2995
3060,8,123,775,557,616,1075,1271,CO,Weld,131821,40,"Greeley, CO",COLORADO,3060
6560,8,101,636,491,509,856,1022,CO,Pueblo,123051,40,"Pueblo, CO",COLORADO,6560
10000,8,3,578,446,463,781,930,CO,Alamosa,13617,40,,COLORADO,800003
10000,8,7,678,523,573,915,1088,CO,Archuleta,5345,40,,COLORADO,800007
10000,8,9,583,450,467,787,937,CO,Baca,4556,40,,COLORADO,800009
10000,8,11,580,448,465,783,933,CO,Bent,5048,40,,COLORADO,800011
10000,8,15,574,442,460,774,923,CO,Chaffee,12684,40,,COLORADO,800015
10000,8,17,571,440,457,770,918,CO,Cheyenne,2397,40,,COLORADO,800017
10000,8,19,579,439,513,807,950,CO,Clear Creek,7619,40,,COLORADO,800019
10000,8,21,582,449,467,786,937,CO,Conejos,7453,40,,COLORADO,800021
10000,8,23,573,442,459,774,922,CO,Costilla,3190,40,,COLORADO,800023
10000,8,25,572,441,459,773,920,CO,Crowley,3946,40,,COLORADO,800025
10000,8,27,573,442,459,774,922,CO,Custer,1926,40,,COLORADO,800027
10000,8,29,572,442,459,773,921,CO,Delta,20980,40,,COLORADO,800029
10000,8,33,573,442,459,774,922,CO,Dolores,1504,40,,COLORADO,800033
10000,8,37,889,612,667,1237,1459,CO,Eagle,21928,40,,COLORADO,800037
10000,8,39,610,481,533,762,1000,CO,Elbert,9646,40,,COLORADO,800039
10000,8,43,572,441,458,772,920,CO,Fremont,32273,40,,COLORADO,800043
10000,8,45,707,523,560,884,1157,CO,Garfield,29974,40,,COLORADO,800045
10000,8,47,736,435,579,972,1074,CO,Gilpin,3070,40,,COLORADO,800047
