State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",673,806,985,1183,1469,CT,1101732
9,METRO25540MM5480,"Southern Middlesex County, CT HUD Metro FMR Area",802,875,1133,1403,1866,CT,46886
9,METRO35300MM1160,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",921,1001,1159,1456,1568,CT,113771
9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",834,946,1142,1367,1562,CT,523037
9,METRO35300MM8880,"Waterbury, CT HUD Metro FMR Area",599,766,921,1103,1179,CT,187200
9,METRO35980M35980,"Norwich-New London, CT HUD Metro FMR Area",696,842,990,1222,1355,CT,237630
9,METRO35980MM3280,"Colchester-Lebanon, CT HUD Metro FMR Area",685,802,1054,1261,1301,CT,21458
9,NCNTY09005N09005,"Litchfield County, CT",648,832,998,1278,1585,CT,182193
9,NCNTY09015N09015,"Windham County, CT",595,720,862,1100,1145,CT,109091
10,METRO20100M20100,"Dover, DE MSA",665,722,800,1083,1389,DE,126697
10,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",748,854,1021,1249,1506,DE,500265
10,NCNTY10005N10005,"Sussex County, DE",608,658,734,1050,1082,DE,156638
11,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",1025,1168,1324,1708,2235,DC,572059
12,METRO15980M15980,"Cape Coral-Fort Myers, FL MSA",758,830,946,1296,1333,FL,440888
12,METRO19660M19660,"Deltona-Daytona Beach-Ormond Beach, FL MSA",672,721,895,1155,1189,FL,443343
12,METRO23020M23020,"Fort Walton Beach-Crestview-Destin, FL MSA",628,722,814,1187,1343,FL,170498
12,METRO23540M23540,"Gainesville, FL MSA",610,699,795,1161,1196,FL,232392
12,METRO27260M27260,"Jacksonville, FL HUD Metro FMR Area",706,787,923,1178,1370,FL,1100491
12,METRO27260N12003,"Baker County, FL HUD Metro FMR Area",360,498,555,810,833,FL,22259
12,METRO29460M29460,"Lakeland, FL MSA",629,687,794,1045,1228,FL,483924
12,METRO33100MM2680,"Fort Lauderdale, FL HUD Metro FMR Area",908,1016,1221,1689,2144,FL,1623018
12,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",849,965,1157,1499,1767,FL,2253362
12,METRO33100MM8960,"West Palm Beach-Boca Raton, FL HUD Metro FMR Area",859,1006,1188,1680,1731,FL,1131184
12,METRO34940M34940,"Naples-Marco Island, FL MSA",894,991,1105,1411,1693,FL,251377
12,METRO36100M36100,"Ocala, FL MSA",623,657,754,1034,1064,FL,258916
12,METRO36740M36740,"Orlando-Kissimmee, FL MSA",748,814,927,1169,1429,FL,1644561
12,METRO37340M37340,"Palm Bay-Melbourne-Titusville, FL MSA",600,740,856,1177,1347,FL,476230
12,METRO37380M37380,"Palm Coast, FL MSA",678,771,968,1338,1698,FL,49832
12,METRO37460M37460,"Panama City-Lynn Haven, FL MSA",647,667,779,1095,1216,FL,148217
12,METRO37860M37860,"Pensacola-Ferry Pass-Brent, FL MSA",629,684,760,1107,1335,FL,412153
12,METRO38940M38940,"Port St. Lucie, FL MSA",725,732,917,1182,1217,FL,319426
12,METRO39460M39460,"Punta Gorda, FL MSA",619,692,870,1269,1530,FL,141627
12,METRO42260M42260,"Sarasota-Bradenton-Venice, FL MSA",761,833,1002,1280,1406,FL,589959
12,METRO42680M42680,"Sebastian-Vero Beach, FL MSA",603,718,918,1126,1159,FL,112947
12,METRO45220M45220,"Tallahassee, FL HUD Metro FMR Area",654,719,904,1218,1253,FL,297441
12,METRO45220N12129,"Wakulla County, FL HUD Metro FMR Area",620,657,748,944,972,FL,22863
12,METRO45300M45300,"Tampa-St. Petersburg-Clearwater, FL MSA",698,782,941,1212,1477,FL,2395997
12,NCNTY12007N12007,"Bradford County, FL",391,543,602,827,854,FL,26088
12,NCNTY12013N12013,"Calhoun County, FL",532,534,639,822,852,FL,13017
