State,CBSASub,areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
8,NCNTY08029N08029,"Delta County, CO",511,556,618,853,879,CO,27834
8,NCNTY08033N08033,"Dolores County, CO",517,646,741,984,1221,CO,1844
8,NCNTY08037N08037,"Eagle County, CO",892,1047,1372,1727,2409,CO,41659
8,NCNTY08043N08043,"Fremont County, CO",437,509,671,939,1117,CO,46145
8,NCNTY08045N08045,"Garfield County, CO",662,767,866,1170,1522,CO,43791
8,NCNTY08049N08049,"Grand County, CO",562,656,863,1121,1154,CO,12442
8,NCNTY08051N08051,"Gunnison County, CO",552,616,810,1097,1422,CO,13956
8,NCNTY08053N08053,"Hinsdale County, CO",719,870,1104,1544,1935,CO,790
8,NCNTY08055N08055,"Huerfano County, CO",392,476,535,738,813,CO,7862
8,NCNTY08057N08057,"Jackson County, CO",649,728,808,1096,1364,CO,1577
8,NCNTY08061N08061,"Kiowa County, CO",473,474,570,759,880,CO,1622
8,NCNTY08063N08063,"Kit Carson County, CO",473,474,570,759,880,CO,8011
8,NCNTY08065N08065,"Lake County, CO",719,870,1104,1544,1935,CO,7812
8,NCNTY08067N08067,"La Plata County, CO",594,714,829,1180,1326,CO,43941
8,NCNTY08071N08071,"Las Animas County, CO",403,550,619,785,810,CO,15207
8,NCNTY08073N08073,"Lincoln County, CO",473,474,570,759,880,CO,6087
8,NCNTY08075N08075,"Logan County, CO",452,453,571,823,850,CO,20504
8,NCNTY08079N08079,"Mineral County, CO",719,870,1104,1544,1935,CO,831
8,NCNTY08081N08081,"Moffat County, CO",412,464,581,801,995,CO,13184
8,NCNTY08083N08083,"Montezuma County, CO",457,542,622,766,960,CO,23830
8,NCNTY08085N08085,"Montrose County, CO",441,594,677,934,1179,CO,33432
8,NCNTY08087N08087,"Morgan County, CO",516,543,623,808,943,CO,27171
8,NCNTY08089N08089,"Otero County, CO",393,430,519,759,827,CO,20311
8,NCNTY08091N08091,"Ouray County, CO",719,870,1104,1544,1935,CO,3742
8,NCNTY08095N08095,"Phillips County, CO",473,474,570,759,880,CO,4480
8,NCNTY08097N08097,"Pitkin County, CO",1003,1170,1540,2073,2704,CO,14872
8,NCNTY08099N08099,"Prowers County, CO",383,466,519,705,910,CO,14483
8,NCNTY08103N08103,"Rio Blanco County, CO",649,728,808,1096,1364,CO,5986
8,NCNTY08105N08105,"Rio Grande County, CO",391,475,529,743,812,CO,12413
8,NCNTY08107N08107,"Routt County, CO",694,832,1067,1322,1874,CO,19690
8,NCNTY08109N08109,"Saguache County, CO",392,476,535,738,813,CO,5917
8,NCNTY08111N08111,"San Juan County, CO",517,646,741,984,1221,CO,558
8,NCNTY08113N08113,"San Miguel County, CO",739,935,1132,1650,1699,CO,6594
8,NCNTY08115N08115,"Sedgwick County, CO",473,474,570,759,880,CO,2747
8,NCNTY08117N08117,"Summit County, CO",790,921,1214,1737,2132,CO,23548
8,NCNTY08121N08121,"Washington County, CO",473,474,570,759,880,CO,4926
8,NCNTY08125N08125,"Yuma County, CO",473,474,570,759,880,CO,9841
9,METRO14860MM1160,"Bridgeport, CT HUD Metro FMR Area",723,906,1100,1315,1598,CT,345708
9,METRO14860MM1930,"Danbury, CT HUD Metro FMR Area",875,1083,1336,1645,1976,CT,183303
9,METRO14860MM8040,"Stamford-Norwalk, CT HUD Metro FMR Area",1137,1375,1747,2303,2993,CT,353556
9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",703,842,1029,1236,1534,CT,1101732
9,METRO25540MM5480,"Southern Middlesex County, CT HUD Metro FMR Area",786,857,1110,1374,1828,CT,46886
9,METRO35300MM1160,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",894,971,1124,1412,1521,CT,113771
9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",777,882,1065,1275,1457,CT,523037
9,METRO35300MM8880,"Waterbury, CT HUD Metro FMR Area",574,735,883,1058,1130,CT,187200
9,METRO35980M35980,"Norwich-New London, CT HUD Metro FMR Area",645,781,918,1133,1257,CT,237630
9,METRO35980MM3280,"Colchester-Lebanon, CT HUD Metro FMR Area",688,805,1058,1265,1306,CT,21458
9,NCNTY09005N09005,"Litchfield County, CT",621,798,957,1226,1520,CT,182193
9,NCNTY09015N09015,"Windham County, CT",568,687,823,1050,1093,CT,109091
10,METRO20100M20100,"Dover, DE MSA",637,691,766,1037,1330,DE,126697
10,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",724,826,988,1208,1457,DE,500265
10,NCNTY10005N10005,"Sussex County, DE",585,633,707,1012,1042,DE,156638
11,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",995,1134,1286,1659,2171,DC,572059
