MSA,State,County,pop100,CountyName,MSAName,FMRType,StateName,State_Alpha,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4
10000,8,11,5998,Bent County,,40,Colorado,CO,452,469,587,791,943
10000,8,15,16242,Chaffee County,,40,Colorado,CO,448,464,580,783,933
10000,8,17,2231,Cheyenne County,,40,Colorado,CO,445,461,577,779,928
10000,8,19,9322,Clear Creek County,,40,Colorado,CO,444,519,586,815,960
10000,8,21,8400,Conejos County,,40,Colorado,CO,454,470,589,794,946
10000,8,23,3663,Costilla County,,40,Colorado,CO,447,463,579,781,931
10000,8,25,5518,Crowley County,,40,Colorado,CO,446,462,578,780,930
10000,8,27,3503,Custer County,,40,Colorado,CO,447,463,579,781,931
10000,8,29,27834,Delta County,,40,Colorado,CO,446,462,578,780,930
10000,8,33,1844,Dolores County,,40,Colorado,CO,447,463,579,781,931
10000,8,37,41659,Eagle County,,40,Colorado,CO,618,675,899,1251,1476
10000,8,39,19872,Elbert County,,40,Colorado,CO,487,538,617,770,1010
10000,8,43,46145,Fremont County,,40,Colorado,CO,446,462,578,780,930
10000,8,45,43791,Garfield County,,40,Colorado,CO,528,566,715,893,1170
10000,8,47,4757,Gilpin County,,40,Colorado,CO,440,585,744,981,1085
10000,8,49,12442,Grand County,,40,Colorado,CO,540,544,689,862,1044
10000,8,51,13956,Gunnison County,,40,Colorado,CO,458,475,595,802,956
10000,8,53,790,Hinsdale County,,40,Colorado,CO,454,480,589,794,946
10000,8,55,7862,Huerfano County,,40,Colorado,CO,454,470,589,794,946
10000,8,57,1577,Jackson County,,40,Colorado,CO,449,465,583,785,936
10000,8,61,1622,Kiowa County,,40,Colorado,CO,447,463,579,781,931
10000,8,63,8011,Kit Carson County,,40,Colorado,CO,447,463,579,781,931
10000,8,65,7812,Lake County,,40,Colorado,CO,448,464,580,783,933
10000,8,67,43941,La Plata County,,40,Colorado,CO,573,634,835,1164,1374
10000,8,71,15207,Las Animas County,,40,Colorado,CO,453,485,588,792,944
10000,8,73,6087,Lincoln County,,40,Colorado,CO,455,471,590,795,948
10000,8,75,20504,Logan County,,40,Colorado,CO,447,463,579,781,931
10000,8,79,831,Mineral County,,40,Colorado,CO,447,463,579,781,931
10000,8,81,13184,Moffat County,,40,Colorado,CO,447,463,579,781,931
10000,8,83,23830,Montezuma County,,40,Colorado,CO,447,463,579,781,931
10000,8,85,33432,Montrose County,,40,Colorado,CO,450,466,590,818,963
10000,8,87,27171,Morgan County,,40,Colorado,CO,447,463,579,781,931
10000,8,89,20311,Otero County,,40,Colorado,CO,447,463,579,781,931
10000,8,91,3742,Ouray County,,40,Colorado,CO,453,470,595,793,963
10000,8,93,14523,Park County,,40,Colorado,CO,443,491,638,886,1008
10000,8,95,4480,Phillips County,,40,Colorado,CO,447,463,579,781,931
10000,8,97,14872,Pitkin County,,40,Colorado,CO,676,926,1233,1626,1849
10000,8,99,14483,Prowers County,,40,Colorado,CO,445,461,577,779,928
10000,8,103,5986,Rio Blanco County,,40,Colorado,CO,447,463,579,781,931
10000,8,105,12413,Rio Grande County,,40,Colorado,CO,446,462,578,780,930
10000,8,107,19690,Routt County,,40,Colorado,CO,444,536,709,986,1162
10000,8,109,5917,Saguache County,,40,Colorado,CO,453,469,588,792,944
10000,8,111,558,San Juan County,,40,Colorado,CO,447,463,579,781,931
10000,8,113,6594,San Miguel County,,40,Colorado,CO,817,1181,1297,1621,2093
10000,8,115,2747,Sedgwick County,,40,Colorado,CO,447,463,579,781,931
10000,8,117,23548,Summit County,,40,Colorado,CO,575,688,883,1228,1511
10000,8,119,20555,Teller County,,40,Colorado,CO,452,536,714,992,1001
10000,8,121,4926,Washington County,,40,Colorado,CO,447,463,579,781,931
10000,8,125,9841,Yuma County,,40,Colorado,CO,448,464,580,783,933
1160,9,1,345708,Fairfield County,"Bridgeport, CT PMSA",40,Connecticut,CT,619,804,967,1210,1509
1160,9,9,113771,New Haven County,"Bridgeport, CT PMSA",40,Connecticut,CT,619,804,967,1210,1509
1930,9,1,183303,Fairfield County,"Danbury, CT PMSA",40,Connecticut,CT,785,938,1173,1548,1785
1930,9,5,34677,Litchfield County,"Danbury, CT PMSA",40,Connecticut,CT,785,938,1173,1548,1785
3280,9,3,855171,Hartford County,"Hartford, CT MSA",40,Connecticut,CT,552,688,880,1104,1340
