"fips_st","fips_puma","owner_occ","total","per_owner"
13,1501,290,433,66.9745958429561
13,1502,680,770,88.3116883116883
13,1503,496,535,92.7102803738318
13,1504,298,420,70.952380952381
13,1505,344,488,70.4918032786885
13,1600,535,673,79.4947994056464
13,1700,604,707,85.4314002828854
13,1800,691,901,76.69256381798
13,1900,702,824,85.1941747572815
13,2000,959,1185,80.928270042194
13,2100,552,728,75.8241758241758
13,2200,383,499,76.753507014028
13,2300,471,750,62.8
13,2400,442,513,86.1598440545809
13,2500,418,539,77.5510204081633
13,2600,474,629,75.3577106518283
13,2700,414,613,67.536704730832
13,2800,560,729,76.8175582990398
13,2900,462,601,76.8718801996672
13,3000,490,751,65.2463382157124
13,3100,313,444,70.4954954954955
13,3200,348,475,73.2631578947368
13,3300,501,680,73.6764705882353
13,3400,283,523,54.1108986615679
13,3500,395,514,76.8482490272374
13,3600,432,610,70.8196721311475
13,3700,347,487,71.252566735113
13,3800,419,574,72.9965156794425
13,3900,356,487,73.1006160164271
13,4000,276,455,60.6593406593407
13,4100,488,666,73.2732732732733
13,4200,393,522,75.2873563218391
13,4300,372,533,69.7936210131332
15,100,535,766,69.8433420365535
15,200,539,742,72.6415094339623
15,301,208,364,57.1428571428571
15,302,283,397,71.2846347607053
15,303,317,418,75.8373205741627
15,304,215,464,46.3362068965517
15,305,197,363,54.2699724517906
15,306,267,429,62.2377622377622
15,307,435,614,70.8469055374593
16,100,704,891,79.0123456790123
16,200,404,544,74.264705882353
16,300,583,754,77.3209549071618
16,400,352,438,80.365296803653
16,500,463,594,77.946127946128
16,600,437,635,68.8188976377953
16,700,459,544,84.375
16,800,556,709,78.4203102961918
16,900,529,653,81.010719754977
17,101,589,714,82.4929971988796
17,102,497,594,83.6700336700337
17,103,316,432,73.1481481481482
17,200,619,755,81.9867549668874
17,300,527,650,81.076923076923
17,400,667,824,80.9466019417476
17,500,531,625,84.96
17,600,436,565,77.1681415929204
17,700,560,676,82.8402366863905
17,800,729,913,79.8466593647317
17,900,757,1008,75.0992063492064
17,1000,775,929,83.4230355220667
17,1101,439,612,71.7320261437908
17,1102,607,743,81.6958277254374
17,1201,373,501,74.4510978043912
17,1202,595,698,85.243553008596
17,1300,324,492,65.8536585365854
17,1400,698,813,85.8548585485855
17,1500,425,539,78.8497217068646
17,1600,598,704,84.9431818181818
17,1700,266,417,63.78896882494
17,1800,566,658,86.0182370820669
17,1900,553,680,81.3235294117647
17,2000,570,738,77.2357723577236
17,2100,574,866,66.2817551963048
17,2200,867,1073,80.8014911463187
17,2300,371,475,78.1052631578947
17,2400,504,626,80.5111821086262
17,2500,681,829,82.1471652593486
17,2600,481,630,76.3492063492063
17,2700,455,563,80.8170515097691
17,2800,390,569,68.5413005272408
17,2900,677,799,84.7309136420526
17,3001,406,478,84.9372384937239
17,3002,431,468,92.0940170940171
17,3003,350,444,78.8288288288288
17,3004,356,414,85.9903381642512
17,3005,243,314,77.3885350318471
17,3006,674,742,90.8355795148248
17,3101,519,610,85.0819672131148
17,3102,322,435,74.0229885057471
17,3103,555,596,93.1208053691275
17,3104,570,607,93.9044481054366
17,3201,528,617,85.5753646677472
17,3202,331,412,80.3398058252427
17,3203,321,398,80.6532663316583
17,3204,420,499,84.1683366733467
17,3205,365,451,80.9312638580931
17,3206,472,591,79.8646362098139
17,3301,315,379,83.11345646438
17,3302,250,363,68.870523415978
17,3303,692,804,86.0696517412935
17,3304,448,510,87.843137254902
17,3305,393,436,90.137614678899
17,3401,352,420,83.8095238095238
17,3402,555,668,83.0838323353293
17,3403,638,813,78.4747847478475
17,3404,662,764,86.6492146596859
17,3405,708,864,81.9444444444444
17,3406,282,371,76.010781671159
17,3407,466,585,79.6581196581197
17,3408,344,515,66.7961165048544
17,3409,433,519,83.4296724470135
17,3410,490,541,90.5730129390019
17,3411,503,605,83.1404958677686
17,3412,276,336,82.1428571428571
17,3413,404,544,74.264705882353
17,3414,425,517,82.2050290135397
17,3501,249,631,39.4611727416799
17,3502,388,785,49.4267515923567
17,3503,245,463,52.9157667386609
17,3504,250,393,63.6132315521629
17,3505,337,427,78.9227166276347
17,3506,228,360,63.3333333333333
17,3507,126,249,50.6024096385542
17,3508,120,313,38.3386581469649
17,3509,317,691,45.8755426917511
17,3510,377,716,52.6536312849162
17,3511,96,210,45.7142857142857
17,3512,229,401,57.1072319201995
17,3513,348,480,72.5
17,3514,142,401,35.4114713216958
17,3515,213,503,42.3459244532803
17,3516,234,415,56.3855421686747
17,3517,280,315,88.8888888888889
17,3518,178,265,67.1698113207547
17,3519,184,279,65.9498207885305
18,100,167,266,62.781954887218
18,201,258,394,65.4822335025381
18,202,504,617,81.6855753646678
18,203,401,455,88.1318681318681
18,300,496,600,82.6666666666667
18,400,392,484,80.9917355371901
18,500,260,379,68.6015831134565
18,600,511,630,81.1111111111111
18,700,483,641,75.3510140405616
18,800,589,715,82.3776223776224
18,900,512,770,66.4935064935065
18,1000,551,625,88.16
18,1100,536,635,84.4094488188976
18,1200,478,588,81.2925170068027
18,1300,440,533,82.5515947467167
18,1400,568,702,80.911680911681
18,1500,395,494,79.9595141700405
18,1600,423,527,80.2656546489564
18,1700,343,430,79.7674418604651
18,1800,539,803,67.1232876712329
18,1901,478,588,81.2925170068027
18,1902,442,522,84.6743295019157
18,2001,433,553,78.3001808318264
18,2002,401,477,84.0670859538784
18,2100,359,481,74.6361746361746
18,2200,579,724,79.9723756906077
18,2301,287,372,77.1505376344086
18,2302,310,475,65.2631578947368
18,2303,243,377,64.4562334217507
18,2304,305,477,63.9412997903564
18,2305,313,571,54.816112084063
18,2306,382,501,76.24750499002
18,2307,349,500,69.8
18,2400,402,511,78.6692759295499
18,2500,672,787,85.3875476493011
18,2600,385,476,80.8823529411765
18,2700,487,645,75.5038759689922
18,2800,359,465,77.2043010752688
18,2900,289,478,60.4602510460251
18,3000,448,554,80.8664259927798
18,3100,441,566,77.9151943462898
18,3200,433,565,76.6371681415929
18,3300,385,501,76.8463073852295
18,3400,359,439,81.7767653758542
18,3500,384,488,78.688524590164
