"state","year","quarter","HPI_not_seasonally_adjusted","HPI_seasonally_adjusted"
"ID",2006,2,248,244.49
"ID",2006,3,251.78,248.29
"ID",2006,4,255.46,256.17
"ID",2007,1,257.4,257.56
"ID",2007,2,266.44,262.43
"ID",2007,3,267.04,263.58
"ID",2007,4,262.25,263.32
"ID",2008,1,262.25,261.98
"ID",2008,2,260.8,256.84
"ID",2008,3,255.03,251.82
"ID",2008,4,244.61,245.9
"ID",2009,1,245.97,245.42
"IL",2000,1,138.41,138.81
"IL",2000,2,141.8,140.83
"IL",2000,3,144.51,143.2
"IL",2000,4,145.55,145.4
"IL",2001,1,147.55,148.03
"IL",2001,2,151.82,150.71
"IL",2001,3,154.5,153.08
"IL",2001,4,155.37,155.24
"IL",2002,1,157.26,157.84
"IL",2002,2,161.85,160.57
"IL",2002,3,164.55,163.04
"IL",2002,4,166.57,166.45
"IL",2003,1,168,168.68
"IL",2003,2,173.47,172
"IL",2003,3,176.6,175.01
"IL",2003,4,178.41,178.31
"IL",2004,1,180.19,180.96
"IL",2004,2,185.76,184.08
"IL",2004,3,189.18,187.54
"IL",2004,4,190.4,190.3
"IL",2005,1,192.65,193.52
"IL",2005,2,198.87,196.95
"IL",2005,3,202.43,200.72
"IL",2005,4,204.24,204.18
"IL",2006,1,206.14,207.12
"IL",2006,2,210.94,208.75
"IL",2006,3,211.76,210.01
"IL",2006,4,211.2,211.18
"IL",2007,1,212.92,214.02
"IL",2007,2,215.14,212.75
"IL",2007,3,213.26,211.52
"IL",2007,4,210.86,210.89
"IL",2008,1,206.49,207.63
"IL",2008,2,208.68,206.25
"IL",2008,3,204.76,203.11
"IL",2008,4,198.67,198.7
"IL",2009,1,193.3,194.44
"IN",2000,1,140.85,140.78
"IN",2000,2,141.87,140.98
"IN",2000,3,143.17,142.18
"IN",2000,4,142.81,142.32
"IN",2001,1,143.77,143.72
"IN",2001,2,145.63,144.67
"IN",2001,3,146.17,145.08
"IN",2001,4,147.61,147.18
"IN",2002,1,147.88,147.95
"IN",2002,2,149.37,148.26
"IN",2002,3,150.32,149.11
"IN",2002,4,149.97,149.6
"IN",2003,1,151.13,151.41
