"state","puma5","cbsa","stab","cbsaname","pop2k","afact"
"FIPS state","puma5","cbsa","State Postal Code","CBSA Name","Total Pop, 2000 census","puma5 to cbsa alloc factor"
"06","05417","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",153663,1 
"06","05418","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",107542,1 
"06","05419","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",156039,1 
"06","05420","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",114788,1 
"06","05421","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",161383,1 
"06","05422","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",119937,1 
"06","05423","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",129796,1 
"06","05424","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",184246,1 
"06","05500","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",112580,1 
"06","05600","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",137946,1 
"06","05701","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",138799,1 
"06","05702","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",196892,1 
"06","05703","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",125831,1 
