"cbsatype","state","puma5","stab","pop2k","afact"
"cbsatype","FIPS state","puma5","State Postal Code","Total Pop, 2000 census","cbsatype to puma5 alloc factor"
"Metro","06","05200","CA",149473,0.001 
"Metro","06","05300","CA",124283,0.001 
"Metro","06","05401","CA",162235,0.001 
"Metro","06","05402","CA",126845,0.001 
"Metro","06","05403","CA",120285,0.001 
"Metro","06","05404","CA",131131,0.001 
"Metro","06","05405","CA",128277,0.001 
"Metro","06","05406","CA",133680,0.001 
"Metro","06","05407","CA",159064,0.001 
"Metro","06","05408","CA",160836,0.001 
"Metro","06","05409","CA",150282,0.001 
"Metro","06","05410","CA",156616,0.001 
"Metro","06","05411","CA",194388,0.001 
"Metro","06","05412","CA",164698,0.001 
"Metro","06","05413","CA",233983,0.001 
"Metro","06","05414","CA",123129,0.001 
"Metro","06","05415","CA",193704,0.001 
"Metro","06","05416","CA",228910,0.001 
"Metro","06","05417","CA",153663,0.001 
"Metro","06","05418","CA",107542,0 
"Metro","06","05419","CA",156039,0.001 
"Metro","06","05420","CA",114788,0 
"Metro","06","05421","CA",161383,0.001 
"Metro","06","05422","CA",119937,0.001 
"Metro","06","05423","CA",129796,0.001 
"Metro","06","05424","CA",184246,0.001 
"Metro","06","05500","CA",112580,0 
"Metro","06","05600","CA",137946,0.001 
"Metro","06","05701","CA",138799,0.001 
"Metro","06","05702","CA",196892,0.001 
"Metro","06","05703","CA",125831,0.001 
"Metro","06","05800","CA",105080,0 
"Metro","06","05900","CA",107323,0 
"Metro","06","06000","CA",103298,0 
"Metro","06","06101","CA",122141,0.001 
"Metro","06","06102","CA",142241,0.001 
"Metro","06","06103","CA",110116,0 
"Metro","06","06104","CA",172377,0.001 
"Metro","06","06105","CA",159524,0.001 
"Metro","06","06106","CA",163104,0.001 
"Metro","06","06107","CA",114547,0 
"Metro","06","06108","CA",110972,0 
"Metro","06","06109","CA",126720,0.001 
"Metro","06","06110","CA",166971,0.001 
"Metro","06","06111","CA",128245,0.001 
"Metro","06","06112","CA",122051,0.001 
"Metro","06","06113","CA",145553,0.001 
"Metro","06","06114","CA",137816,0.001 
"Metro","06","06115","CA",168966,0.001 
"Metro","06","06116","CA",128144,0.001 
"Metro","06","06117","CA",130374,0.001 
"Metro","06","06118","CA",163666,0.001 
"Metro","06","06119","CA",149972,0.001 
"Metro","06","06120","CA",110297,0 
"Metro","06","06121","CA",100797,0 
"Metro","06","06122","CA",131712,0.001 
"Metro","06","06123","CA",140665,0.001 
"Metro","06","06124","CA",116546,0.001 
"Metro","06","06125","CA",218389,0.001 
"Metro","06","06126","CA",108804,0 
"Metro","06","06200","CA",170358,0.001 
"Metro","06","06300","CA",100916,0 
"Metro","06","06400","CA",111351,0 
"Metro","06","06500","CA",117005,0.001 
"Metro","06","06601","CA",126049,0.001 
