"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"266","Riverside-San Bernardino-Ontario,  CA","570",245,0,4,321,25,NA
"267","Rochester, MN","29",29,0,0,0,0,87
"268","Rochester, NY","60",52,0,3,5,1,62
"269","Rockford, IL","18",14,4,0,0,0,97
"270","Rocky Mount, NC","16",16,0,0,0,0,78
"271","Rome, GA","4",4,0,0,0,0,99
"272","Sacramento--Arden-Arcade--Roseville,  CA","482",281,0,0,201,3,NA
"273","Salem, OR","16",14,2,0,0,0,85
"274","Salinas, CA","19",5,2,0,12,1,92
"275","Salisbury, MD","11",5,0,0,6,1,67
"276","Salt Lake City,  UT","316",114,2,3,197,14,100
"277","San Angelo,  TX","16",16,0,0,0,0,100
"278","San Antonio,  TX","602",287,0,0,315,16,100
"279","San Diego-Carlsbad-San Marcos,  CA","232",84,2,0,146,5,100
"280","San Francisco-Oakland-Fremont,  CA","575",136,2,3,434,18,100
"281","San Jose-Sunnyvale-Santa Clara,  CA","34",29,0,0,5,1,100
"282","San Luis Obispo-Paso Robles, CA","33",33,0,0,0,0,67
"283","Sandusky, OH","0",0,0,0,0,0,0
"284","Santa Barbara-Santa Maria, CA","8",8,0,0,0,0,71
"285","Santa Cruz-Watsonville, CA","5",5,0,0,0,0,64
"286","Santa Fe,  NM","6",6,0,0,0,0,100
"287","Santa Rosa-Petaluma, CA","28",26,2,0,0,0,92
"288","Savannah, GA","52",52,0,0,0,0,87
"289","Scranton--Wilkes-Barre, PA","13",13,0,0,0,0,24
"290","Seattle-Tacoma-Bellevue,  WA","576",238,28,3,307,10,100
"291","Sebastian-Vero Beach,  FL","24",24,0,0,0,0,100
"292","Sheboygan, WI","43",1,2,0,40,5,47
"293","Sherman-Denison, TX","0",0,0,0,0,0,2
"294","Shreveport-Bossier City, LA","28",28,0,0,0,0,98
"295","Sioux City, IA-NE-SD","6",6,0,0,0,0,96
"296","Sioux Falls, SD","142",30,2,0,110,5,88
"297","South Bend-Mishawaka, IN-MI","35",21,0,0,14,2,98
"298","Spartanburg, SC","49",49,0,0,0,0,94
"299","Spokane, WA","58",23,0,19,16,1,66
"300","Springfield, IL","7",7,0,0,0,0,53
"301","Springfield, MA","26",18,8,0,0,0,58
"302","Springfield, MO","86",39,4,0,43,1,83
"303","Springfield, OH","32",4,0,28,0,0,100
"304","St. Cloud, MN","20",15,0,0,5,1,74
"305","St. George, UT","35",33,2,0,0,0,96
"306","St. Joseph, MO-KS","6",6,0,0,0,0,0
"307","St. Louis,  MO-IL","242",223,4,3,12,2,100
"308","State College, PA","9",7,2,0,0,0,62
"309","Stockton,  CA","35",35,0,0,0,0,100
