"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"264","Reno-Sparks,  NV","138",133,0,0,5,1,100
"265","Richmond,  VA","406",390,0,10,6,1,100
"266","Riverside-San Bernardino-Ontario,  CA","775",576,2,22,175,5,NA
"267","Rochester, MN","36",36,0,0,0,0,87
"268","Rochester, NY","90",84,0,6,0,0,62
"269","Rockford, IL","60",33,4,0,23,4,97
"270","Rocky Mount, NC","40",40,0,0,0,0,78
"271","Rome, GA","28",26,2,0,0,0,99
"272","Sacramento--Arden-Arcade--Roseville,  CA","367",361,0,6,0,0,NA
"273","Salem, OR","91",62,4,0,25,3,85
"274","Salinas, CA","66",17,0,3,46,3,92
"275","Salisbury, MD","36",20,0,0,16,2,67
"276","Salt Lake City,  UT","580",249,6,10,315,13,100
"277","San Angelo,  TX","29",29,0,0,0,0,100
"278","San Antonio,  TX","676",553,30,3,90,8,100
"279","San Diego-Carlsbad-San Marcos,  CA","521",214,10,16,281,16,100
"280","San Francisco-Oakland-Fremont,  CA","1323",223,12,0,1088,16,100
"281","San Jose-Sunnyvale-Santa Clara,  CA","130",91,0,0,39,4,100
"282","San Luis Obispo-Paso Robles, CA","29",27,2,0,0,0,67
"283","Sandusky, OH","0",0,0,0,0,0,0
"284","Santa Barbara-Santa Maria, CA","4",4,0,0,0,0,71
"285","Santa Cruz-Watsonville, CA","8",8,0,0,0,0,64
"286","Santa Fe,  NM","15",15,0,0,0,0,100
"287","Santa Rosa-Petaluma, CA","84",50,2,4,28,3,92
"288","Savannah, GA","124",124,0,0,0,0,87
"289","Scranton--Wilkes-Barre, PA","21",21,0,0,0,0,24
"290","Seattle-Tacoma-Bellevue,  WA","1663",754,80,70,759,19,100
"291","Sebastian-Vero Beach,  FL","96",92,0,4,0,0,100
"292","Sheboygan, WI","10",5,0,0,5,1,47
"293","Sherman-Denison, TX","1",1,0,0,0,0,2
"294","Shreveport-Bossier City, LA","227",85,0,0,142,1,98
"295","Sioux City, IA-NE-SD","21",21,0,0,0,0,96
"296","Sioux Falls, SD","207",116,2,32,57,6,88
"297","South Bend-Mishawaka, IN-MI","49",42,0,0,7,1,98
"298","Spartanburg, SC","98",98,0,0,0,0,94
"299","Spokane, WA","131",83,0,0,48,2,66
"300","Springfield, IL","19",13,6,0,0,0,53
"301","Springfield, MA","171",41,0,0,130,1,58
"302","Springfield, MO","220",84,10,0,126,8,83
"303","Springfield, OH","9",9,0,0,0,0,100
"304","St. Cloud, MN","42",33,2,0,7,1,74
"305","St. George, UT","77",71,0,0,6,1,96
"306","St. Joseph, MO-KS","7",3,4,0,0,0,0
"307","St. Louis,  MO-IL","780",540,8,31,201,13,100
"308","State College, PA","21",21,0,0,0,0,62
"309","Stockton,  CA","76",76,0,0,0,0,100
"310","Sumter,  SC","20",20,0,0,0,0,100
"311","Syracuse, NY","72",67,0,0,5,1,61
"312","Tallahassee, FL","150",90,12,0,48,2,100
