"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"334","Wheeling, WV-OH","0",0,0,0,0,0,68
"335","Wichita Falls, TX","8",8,0,0,0,0,89
"336","Wichita, KS","152",126,4,0,22,2,88
"337","Williamsport, PA","2",2,0,0,0,0,16
"338","Wilmington,  NC","306",299,2,0,5,1,100
"339","Winchester, VA-WV","44",44,0,0,0,0,84
"340","Winston-Salem, NC","135",121,0,0,14,1,90
"341","Worcester, MA","73",64,4,0,5,1,69
"342","Yakima, WA","44",44,0,0,0,0,40
"343","York-Hanover, PA","88",83,0,0,5,1,79
"344","Youngstown-Warren-Boardman, OH-PA","45",29,2,4,10,2,96
"345","Yuba City, CA","19",17,2,0,0,0,91
"346","Yuma, AZ","52",50,2,0,0,0,72
