"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"313","St. Joseph, MO-KS","23",10,2,0,11,1
"314","St. Louis,* MO-IL","1122",895,40,33,154,9
"315","State College, PA","23",23,0,0,0,0
"316","Stockton,* CA","232",230,2,0,0,0
"317","Sumter,* SC","23",23,0,0,0,0
"318","Syracuse, NY","77",69,0,0,8,1
"319","Tallahassee, FL","257",171,4,4,78,6
"320","Tampa-St. Petersburg-Clearwater,* FL","2123",1963,2,0,158,NA
"321","Texarkana, TX-Texarkana, AR","18",14,4,0,0,0
"322","Toledo, OH","210",144,8,8,50,10
"323","Topeka, KS","77",77,0,0,0,0
"324","Trenton-Ewing,* NJ","83",81,2,0,0,0
"325","Tucson, AZ","830",741,10,8,71,3
"326","Tulsa,* OK","712",397,0,16,299,12
"327","Tuscaloosa, AL","82",74,0,0,8,1
"328","Tyler, TX","43",35,0,3,5,1
"329","Utica-Rome, NY","2",2,0,0,0,0
"330","Valdosta, GA","87",66,0,0,21,2
"331","Vallejo-Fairfield, CA","164",164,0,0,0,0
"332","Vero Beach,* FL","304",298,6,0,0,0
"333","Victoria, TX","25",11,0,4,10,1
"334","Vineland-Millville-Bridgeton,* NJ","38",38,0,0,0,0
"335","Virginia Beach-Norfolk-Newport News,  VA-NC","630",554,42,29,5,1
"336","Visalia-Porterville, CA","274",214,0,60,0,0
"337","Waco, TX","44",42,2,0,0,0
"338","Warner Robins, GA","118",118,0,0,0,0
"339","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","2059",1588,2,0,469,11
"340","Waterloo-Cedar Falls, IA","18",18,0,0,0,0
"341","Wausau, WI","45",45,0,0,0,0
"342","Weirton-Steubenville, WV-OH","0",0,0,0,0,0
"343","Wenatchee, WA","37",37,0,0,0,0
"344","Wheeling, WV-OH","0",0,0,0,0,0
"345","Wichita Falls, TX","20",14,2,4,0,0
"346","Wichita, KS","254",250,4,0,0,0
"347","Williamsport, PA","5",5,0,0,0,0
"348","Wilmington,* NC","567",499,32,0,36,2
"349","Winchester, VA-WV","108",108,0,0,0,0
"350","Winston-Salem, NC","217",209,0,8,0,0
"351","Worcester, MA","203",170,12,6,15,1
"352","Yakima, WA","25",25,0,0,0,0
"353","York-Hanover, PA","194",130,58,0,6,1
"354","Youngstown-Warren-Boardman, OH-PA","90",84,2,4,0,0
"355","Yuba City-Marysville, CA","109",109,0,0,0,0
"356","Yuma, AZ","130",125,0,0,5,1
