Code,Code,Code,County Name/State Abbreviation,Year,Force,Employed,Unemployed,(%)
CN131950,13,195,"Madison County, GA",2000,"13,866     ","13,422     ",444     ,3.2     
CN131970,13,197,"Marion County, GA",2000,"3,337     ","3,207     ",130     ,3.9     
CN131990,13,199,"Meriwether County, GA",2000,"10,177     ","9,723     ",454     ,4.5     
CN132010,13,201,"Miller County, GA",2000,"3,268     ","3,135     ",133     ,4.1     
CN132050,13,205,"Mitchell County, GA",2000,"9,952     ","9,449     ",503     ,5.1     
CN132070,13,207,"Monroe County, GA",2000,"11,403     ","10,988     ",415     ,3.6     
CN132090,13,209,"Montgomery County, GA",2000,"3,935     ","3,712     ",223     ,5.7     
CN132110,13,211,"Morgan County, GA",2000,"8,210     ","7,932     ",278     ,3.4     
CN132130,13,213,"Murray County, GA",2000,"19,700     ","19,046     ",654     ,3.3     
PA130400,13,215,"Muscogee County, GA",2000,"84,010     ","80,100     ","3,910     ",4.7     
CN132170,13,217,"Newton County, GA",2000,"32,438     ","31,397     ","1,041     ",3.2     
CN132190,13,219,"Oconee County, GA",2000,"14,408     ","14,045     ",363     ,2.5     
CN132210,13,221,"Oglethorpe County, GA",2000,"6,657     ","6,458     ",199     ,3.0     
