CONTROL,SMSA,PWT,WEIGHT
'000000000037','8280',238.897,268.04284436
'000000000037','8840',385.0634,399.231542
'000000000038','0720',111.76455,111.72705661
'000000000038','1000',80.0639,87.150710167
'000000000038','1120',152.880075,181.37281602
'000000000038','1640',130.8343,141.02818703
'000000000038','3360',322.27002,0
'000000000038','5120',61.50965,70.376464394
'000000000038','5680',131.9648,141.77684365
'000000000038','5775',188.917,236.84880644
'000000000038','6480',90.5129,122.6267054
'000000000038','6840',24.1934,27.765476796
'000000000038','7160',92.2085067,99.082039962
'000000000038','7360',150.6233,181.87516019
'000000000038','7400',123.1232,157.07172723
'000000000038','8280',179.17275,202.71761609
'000000000038','8840',288.79755,299.4236565
'000000000039','0720',223.5291,249.38588021
'000000000039','1000',120.09585,125.28205118
'000000000039','1120',305.76015,0
'000000000039','1640',130.8343,138.8127615
'000000000039','5120',184.52895,211.12939318
'000000000039','5680',98.9736,103.64474088
'000000000039','5775',188.917,214.13571507
'000000000039','6480',90.5129,0
'000000000039','6840',72.5802,73.722128045
'000000000039','7160',92.2085067,0
'000000000039','7360',150.6233,0
'000000000039','7400',123.1232,157.07172723
'000000000039','8280',238.897,268.04284436
'000000000039','8840',96.26585,96.981303485
'000000000040','0720',223.5291,268.66951133
'000000000040','1000',80.0639,83.521367454
'000000000040','1120',152.880075,181.37281602
'000000000040','1640',130.8343,141.02818703
'000000000040','3360',590.81762767,0
'000000000040','5120',246.0386,278.39681174
'000000000040','5680',131.9648,142.5148446
'000000000040','5775',188.917,236.84880644
'000000000040','6480',90.5129,98.953416164
'000000000040','6840',24.1934,27.765476796
'000000000040','7160',92.2085067,99.082039962
'000000000040','7360',150.6233,173.88467889
'000000000040','7400',123.1232,0
'000000000040','8280',238.897,0
'000000000040','8840',192.5317,208.28921732
'000000000041','0720',223.5291,274.19974182
'000000000041','1000',80.0639,85.645151414
'000000000041','1120',305.76015,362.74563205
'000000000041','1640',130.8343,134.93734247
'000000000041','5120',123.0193,140.75292879
'000000000041','5680',98.9736,105.69157351
'000000000041','5775',188.917,214.13571507
'000000000041','6480',90.5129,95.789484474
'000000000041','6840',72.5802,83.296430388
'000000000041','7160',92.2085067,99.082039962
'000000000041','7360',150.6233,181.87516019
'000000000041','7400',123.1232,157.07172723
'000000000041','8280',238.897,268.04284436
