CONTROL,SMSA,RMOV,XUNIT,XTEN,XCOND,XCOOP,XPER,XHEAD,XREL,XCOST,XINUS,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000000039','5680',1,'1','1','-8','-6',-8,'-8','-6','4','-9','1','-9','1','1','-9','-9'
'000000000039','8280',1,'2','2','3','-6',1,'1','-6','3','-9','1','-9','-9','-9','-9','1'
'000000000040','0720',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000040','5680',1,'1','1','3','-6',3,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000040','6480',1,'1','2','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000040','6840',1,'2','2','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000040','7360',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000040','8840',1,'2','2','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000041','0720',-9,'1','1','-9','-6',-7,'-9','-6','-9','-9','1','1','1','1','1','-9'
'000000000041','1000',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000041','5120',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000041','7160',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000041','8280',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000041','8840',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000042','1000',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000042','7400',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000042','8840',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000043','0720',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000043','1000',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000043','5120',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000043','6840',1,'1','1','3','-6',5,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000043','6840',2,'1','1','3','-6',5,'2','1','1','-9','2','-9','-9','-9','-9','-9'
'000000000043','7160',-9,'1','1','-9','-6',-7,'-9','-6','-9','-9','1','1','1','1','1','-9'
'000000000044','0720',1,'2','2','3','-6',5,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000044','5120',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000044','5680',1,'2','2','4','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
