CONTROL,SMSA,PERSON,PASS,TRAN,TIMEJ,DISTJ,WHHRW,WHHRB,AMPM,HJOB,VEHCL,WHDY,WHOME,WINUS,WTIME,JTRAN,JVEHCL,JPASS,JTIMEJ,JDISTJ,JWTIME,JWHHRW,JWHHRB,JWHDY
'000000003218','1120',2,-6,11,1,0,50,0,'1','1','-6','5','1','-9','0830','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003218','5000',1,-6,1,30,10,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003218','5000',3,-6,4,30,15,-6,0,'1','1','-6','-6','2','-9','0730','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000003220','5120',2,-6,2,55,37,1,6,'1','1','1','0','1','-9','0455','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003220','8280',2,-6,3,20,2,2,0,'1','1','1','0','1','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003221','0720',1,-6,2,20,3,-6,0,'1','2','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003221','0720',2,-6,2,15,2,-6,0,'1','1','1','-6','2','-9','0830','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003221','5120',1,-6,1,45,25,-6,40,'1','1','1','-6','2','-9','0600','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003223','8280',1,-6,2,4,3,-6,2,'1','1','1','-6','2','-9','1150','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003224','8280',1,-6,1,35,10,-6,0,'1','1','1','-6','2','-9','0745','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003225','1120',1,-6,11,10,0,1,14,'1','1','-6','0','1','-9','1200','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003228','0720',1,-6,1,15,10,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003228','0720',2,-6,1,30,25,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003228','5120',3,-6,10,30,7,-6,0,'1','1','-6','-6','2','-9','0730','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000003231','5000',2,-6,2,15,11,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003232','5120',1,-6,2,20,18,-6,0,'1','2','1','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003232','5120',2,-6,3,20,20,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003235','0720',1,-6,1,30,16,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003235','5120',1,-6,1,20,20,-6,0,'1','1','1','-6','2','-9','0930','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000003236','5120',1,-6,3,20,20,-6,0,'1','2','1','-6','2','-9','0730','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000003236','5120',2,-6,1,15,15,-6,0,'1','2','1','-6','2','-9','0830','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003237','5120',1,-6,3,15,5,-6,0,'1','1','1','-6','2','-9','0720','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003237','5120',2,-6,3,10,10,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003238','1120',1,-6,2,5,1,-6,0,'1','1','1','-6','2','-9','0715','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003238','1120',2,-6,2,15,10,-6,0,'1','2','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
