CONTROL,SMSA,OWNHERE,JWNHER
'000000001428','8840','2','-9'
'000000001433','3360','1','-9'
'000000001434','1120','2','-9'
'000000001436','1120','-6','-9'
'000000001437','5120','2','2'
'000000001438','5120','-6','-9'
'000000001439','8280','2','-9'
'000000001441','8280','2','-9'
'000000001442','8840','2','-9'
'000000001443','8280','2','-9'
'000000001447','8280','1','-9'
'000000001449','5120','-6','-9'
'000000001449','8840','-6','-9'
'000000001450','5000','-6','-9'
'000000001454','8280','-6','-9'
'000000001457','5120','1','-9'
'000000001458','5000','-6','-9'
'000000001458','5120','2','-9'
'000000001459','5000','-6','-9'
'000000001459','5120','2','-9'
'000000001459','8280','2','-9'
'000000001460','5120','-6','-9'
'000000001462','3360','-6','-9'
'000000001463','8280','2','-9'
'000000001465','5120','2','-9'
'000000001468','5120','1','2'
'000000001471','0720','1','-9'
'000000001474','5120','2','-9'
'000000001475','8280','2','-9'
'000000001478','1120','2','-9'
'000000001478','5000','2','-9'
'000000001479','5120','1','-9'
'000000001479','8280','2','-9'
'000000001480','1120','1','-9'
'000000001480','5120','2','-9'
'000000001481','8280','2','-9'
'000000001483','8280','-6','-9'
'000000001484','5000','2','-9'
'000000001484','5120','2','-9'
'000000001485','5120','1','-9'
'000000001486','0720','1','2'
'000000001486','3360','2','-9'
'000000001486','8840','2','-9'
'000000001490','3360','1','2'
'000000001491','3360','1','-9'
'000000001493','3360','2','-9'
'000000001493','8280','2','-9'
'000000001498','8280','-6','-9'
'000000001500','3360','1','-9'
'000000001500','5000','2','-9'
'000000001502','0720','-6','-9'
'000000001502','5000','-6','-9'
'000000001503','1120','2','-9'
'000000001503','8280','2','2'
'000000001504','5120','1','-9'
'000000001504','8840','2','-9'
'000000001505','5120','-6','-9'
'000000001506','5000','2','-9'
'000000001506','5120','1','-9'
'000000001507','5000','2','-9'
'000000001508','5120','-6','-9'
'000000001508','8280','-6','-9'
'000000001509','8280','2','-9'
'000000001512','5120','2','-9'
'000000001514','1120','2','-9'
'000000001514','5120','-6','-9'
'000000001517','8840','-6','-9'
'000000001518','3360','1','2'
'000000001519','5120','-6','-9'
'000000001520','3360','2','2'
'000000001520','5120','2','-9'
'000000001521','8280','2','-9'
'000000001522','3360','2','-9'
'000000001525','5120','2','-9'
'000000001526','0720','-6','-9'
'000000001530','8840','1','-9'
'000000001531','8280','2','-9'
'000000001532','5000','2','-9'
'000000001533','8280','2','-9'
'000000001534','5000','-6','-9'
'000000001535','5120','2','-9'
'000000001536','5000','2','-9'
'000000001537','5120','2','-9'
'000000001538','3360','-6','-9'
'000000001538','5120','1','-9'
'000000001539','5120','2','-9'
'000000001540','5120','2','-9'
'000000001541','0720','-6','-9'
'000000001541','5120','2','-9'
'000000001542','3360','2','-9'
'000000001543','8840','-6','-9'
'000000001545','8280','1','-9'
'000000001547','5120','1','-9'
'000000001551','8280','2','2'
'000000001553','8280','2','-9'
'000000001554','1120','1','-9'
'000000001554','5000','2','-9'
'000000001555','5120','1','-9'
'000000001557','5120','2','-9'
'000000001558','5000','1','-9'
'000000001559','5120','2','-9'
'000000001559','8280','1','-9'
'000000001560','1120','2','-9'
'000000001562','0720','-6','-9'
'000000001563','5000','2','-9'
'000000001565','5120','1','-9'
'000000001566','5120','2','-9'
