"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Santa Cruz-Watsonville","CA",12422,8465,0,0,3957
"Santa Fe","NM",5168,5168,0,0,0
"Santa Rosa-Petaluma","CA",14382,14028,354,0,0
"Sarasota-Bradenton-Venice","FL",189332,138859,0,638,49835
"Savannah","GA",38427,38054,202,0,171
"Scranton--Wilkes-Barre","PA",2683,2683,0,0,0
"Seattle-Tacoma-Bellevue","WA",248937,228056,2021,5179,13681
"Sheboygan","WI",1705,1705,0,0,0
"Sherman-Denison","TX",1510,1510,0,0,0
"Shreveport-Bossier City","LA",16870,16870,0,0,0
"Sioux City","IA-NE-SD",2201,2201,0,0,0
"Sioux Falls","SD",6331,6127,0,204,0
"South Bend-Mishawaka","IN-MI",11085,9485,0,700,900
"Spartanburg","SC",16169,16169,0,0,0
"Spokane","WA",19688,19341,0,0,347
"Springfield","IL",3145,2523,167,0,455
"Springfield","MA",7862,7284,131,0,447
"Springfield","MO",27718,27618,100,0,0
"Springfield","OH",680,680,0,0,0
"St. Cloud","MN",5858,5401,0,0,457
"St. George","UT",34865,34865,0,0,0
"St. Joseph","MO-KS",1055,1055,0,0,0
"St. Louis","MO-IL",136039,126910,1398,1901,5830
"State College","PA",5216,5216,0,0,0
"Stockton","CA",112588,111727,347,0,514
"Sumter","SC",4735,3851,236,0,648
"Syracuse","NY",7676,6023,1021,632,0
"Tallahassee","FL",16535,14157,1383,598,397
"Tampa-St. Petersburg-Clearwater","FL",346500,303527,7412,12610,22951
"Terre Haute","IN",1693,1693,0,0,0
"Texarkana","TX-Texarkana",2059,1451,98,0,510
"Toledo","OH",17992,13013,0,5,4974
"Topeka","KS",6872,6872,0,0,0
"Trenton-Ewing","NJ",5246,4389,0,1,856
"Tucson","AZ",125662,124884,0,778,0
"Tulsa","OK",45536,44905,631,0,0
"Tuscaloosa","AL",14383,13611,0,0,772
"Tyler","TX",6258,5646,0,150,462
"Utica-Rome","NY",591,591,0,0,0
"Valdosta","GA",9239,8453,0,0,786
"Vallejo-Fairfield","CA",49526,39353,405,1145,8623
"Vero Beach","FL",39467,34940,0,408,4119
"Victoria","TX",820,820,0,0,0
"Vineland-Millville-Bridgeton","NJ",2132,2132,0,0,0
"Virginia Beach-Norfolk-Newport News","VA-NC",88273,85268,434,0,2571
"Visalia-Porterville","CA",27387,27031,0,356,0
"Waco","TX",10270,10270,0,0,0
"Warner Robins","GA",14672,14672,0,0,0
"Washington-Arlington-Alexandria","DC-VA-MD-WV",317152,292770,0,201,24181
"Waterloo-Cedar Falls","IA",1335,1335,0,0,0
"Wausau","WI",4539,4467,72,0,0
"Weirton-Steubenville","WV-OH",0,0,0,0,0
"Wenatchee","WA",4517,4517,0,0,0
"Wheeling","WV-OH",0,0,0,0,0
"Wichita Falls","TX",4063,3463,0,600,0
"Wichita","KS",17739,17644,95,0,0
"Williamsport","PA",134,134,0,0,0
"Wilmington","NC",81956,76004,1798,0,4154
"Winchester","VA-WV",15604,15604,0,0,0
"Winston-Salem","NC",37823,37823,0,0,0
"Worcester","MA",35360,33505,517,207,1131
"Yakima","WA",5086,4799,287,0,0
"York-Hanover","PA",18429,18429,0,0,0
"Youngstown-Warren-Boardman","OH-PA",7788,7688,100,0,0
"Yuba City-Marysville","CA",58802,58038,0,0,764
"Yuma","AZ",19771,19568,203,0,0
