"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Utica-Rome","NY",355,355,0,0,0
"Valdosta","GA",9360,8540,0,0,820
"Vallejo-Fairfield","CA",52717,32605,295,0,19817
"Vero Beach","FL",40759,36266,125,544,3824
"Victoria","TX",969,969,0,0,0
"Vineland-Millville-Bridgeton","NJ",3049,3049,0,0,0
"Virginia Beach-Norfolk-Newport News","VA-NC",90413,82098,2864,1197,4254
"Visalia-Porterville","CA",29106,26922,299,1885,0
"Waco","TX",7836,7596,240,0,0
"Warner Robins","GA",13622,13622,0,0,0
"Washington-Arlington-Alexandria","DC-VA-MD-WV",359403,317016,454,0,41933
"Waterloo-Cedar Falls","IA",7229,7229,0,0,0
"Wausau","WI",8391,7887,504,0,0
"Weirton-Steubenville","WV-OH",568,568,0,0,0
"Wenatchee","WA",6022,5757,265,0,0
"Wheeling","WV-OH",139,139,0,0,0
"Wichita Falls","TX",3953,3833,120,0,0
"Wichita","KS",33586,30204,3382,0,0
"Williamsport","PA",68,68,0,0,0
"Wilmington","NC",84422,67012,4959,1622,10829
"Winchester","VA-WV",15863,15863,0,0,0
"Winston-Salem","NC",40561,40561,0,0,0
"Worcester","MA",37304,34453,1209,720,922
"Yakima","WA",7576,6299,1277,0,0
"York-Hanover","PA",24905,24145,258,0,502
"Youngstown-Warren-Boardman","OH-PA",14638,13614,100,0,924
"Yuba City-Marysville","CA",38678,38678,0,0,0
"Yuma","AZ",22330,22330,0,0,0
