"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Wichita Falls","TX",6308,5227,0,1081,0,1
"Wichita","KS",26495,26171,324,0,0,1
"Williamsport","PA",68,68,0,0,0,1
"Wilmington","NC",97253,88925,255,308,7765,1
"Winchester","VA-WV",16022,16022,0,0,0,1
"Winston-Salem","NC",34649,32572,0,189,1888,1
"Worcester","MA",30239,21520,1253,1282,6184,1
"Yakima","WA",4964,4964,0,0,0,1
"York-Hanover","PA",21932,21623,0,0,309,1
"Youngstown-Warren-Boardman","OH-PA",9140,9040,100,0,0,1
"Yuba City","CA",27573,27573,0,0,0,1
"Yuma","AZ",18744,18744,0,0,0,1
"Abilene","TX",4402,4402,0,0,0,2
"Akron","OH",21503,20361,400,69,673,2
"Albany","GA",6012,5707,127,178,0,2
"Albany-Schenectady-Troy","NY",16893,14713,0,0,2180,2
"Albuquerque","NM",63613,61580,0,310,1723,2
"Alexandria","LA",6921,6921,0,0,0,2
"Allentown-Bethlehem-Easton","PA-NJ",46932,46297,200,0,435,2
"Altoona","PA",234,234,0,0,0,2
"Amarillo","TX",12027,12027,0,0,0,2
"Ames","IA",3115,3115,0,0,0,2
"Anchorage","AK",25111,5816,742,0,18553,2
"Anderson","IN",4928,2724,2204,0,0,2
"Anderson","SC",13023,13023,0,0,0,2
"Ann Arbor","MI",6386,6084,0,0,302,2
"Anniston-Oxford","AL",1463,1463,0,0,0,2
"Appleton","WI",11882,11324,558,0,0,2
"Asheville","NC",56259,52958,1630,901,770,2
"Athens-Clarke County","GA",19249,16258,0,0,2991,2
"Atlanta-Sandy Springs-Marietta","GA",731169,677036,1221,4546,48366,2
"Atlantic City","NJ",12179,12011,168,0,0,2
"Auburn-Opelika","AL",17856,17856,0,0,0,2
"Augusta-Richmond County","GA-SC",40808,40808,0,0,0,2
"Austin-Round Rock","TX",229212,183858,6174,0,39180,2
"Bakersfield","CA",65115,52659,989,2070,9397,2
"Baltimore-Towson","MD",110950,97958,157,1503,11332,2
"Bangor","ME",1536,1536,0,0,0,2
"Barnstable Town","MA",15704,14065,0,0,1639,2
"Baton Rouge","LA",42718,40714,0,297,1707,2
"Battle Creek","MI",639,639,0,0,0,2
"Bay City","MI",300,300,0,0,0,2
"Beaumont-Port Arthur","TX",8176,4500,0,0,3676,2
"Bellingham","WA",15810,14669,0,499,642,2
"Bend","OR",75263,69015,648,0,5600,2
"Billings","MT",5598,4853,745,0,0,2
"Binghamton","NY",180,180,0,0,0,2
"Birmingham-Hoover","AL",89327,89021,0,0,306,2
"Bismarck","ND",4046,4046,0,0,0,2
"Bloomington","IN",7986,7179,0,0,807,2
"Bloomington-Normal","IL",6189,5903,0,0,286,2
"Boise City-Nampa","ID",148602,142068,624,5610,300,2
"Boston-Cambridge-Quincy","MA-NH",139112,86302,7646,1749,43415,2
"Boulder","CO",17869,14842,203,0,2824,2
"Bowling Green","KY",13840,12325,115,1400,0,2
"Bremerton-Silverdale","WA",13636,13636,0,0,0,2
"Bridgeport-Stamford-Norwalk","CT",32414,28509,755,0,3150,2
"Brownsville-Harlingen","TX",12651,10601,58,1043,949,2
"Brunswick","GA",15679,13610,176,0,1893,2
"Buffalo-Niagara Falls","NY",12004,12004,0,0,0,2
"Burlington","NC",25634,19305,0,0,6329,2
"Burlington-South Burlington","VT",4483,4483,0,0,0,2
"Canton-Massillon","OH",11404,11165,0,0,239,2
"Cape Coral-Fort Myers","FL",403355,333607,314,250,69184,2
"Carson City","NV",1170,1170,0,0,0,2
"Casper","WY",3979,3979,0,0,0,2
"Cedar Rapids","IA",5751,4794,493,464,0,2
"Champaign-Urbana","IL",15303,10850,0,0,4453,2
"Charleston","WV",4703,4703,0,0,0,2
"Charleston-North Charleston","SC",139477,109437,0,0,30040,2
"Charlotte-Gastonia-Concord","NC-SC",292942,265366,757,408,26411,2
"Charlottesville","VA",23108,20260,257,232,2359,2
"Chattanooga","TN-GA",33445,32959,179,0,307,2
"Cheyenne","WY",7566,6979,0,0,587,2
