"City","State","Total","X1_Units","X2_Units","X3.4_Units","X5.Inf_Units"
"Tuscaloosa","AL MSA",9638,8743,0,0,895
"Tyler","TX MSA",5237,4764,0,150,323
"Utica-Rome","NY MSA",218,218,0,0,0
"Victoria","TX MSA",660,660,0,0,0
"Visalia-Tulare-Porterville CA MSA","21372",21273,99,0,0,NA
"Waco","TX MSA",7895,7023,150,260,462
"Washington-Baltimore","DC-MD-VA-WV CMSA",443211,369853,100,273,72985
"Waterloo-Cedar Falls","IA MSA",1728,1728,0,0,0
"Wausau","WI MSA",4017,3945,72,0,0
"West Palm Beach-Boca RatonFL MSA","157059",134362,668,258,21771,NA
"Wheeling","WV-OH MSA",204,204,0,0,0
"Wichita","KS MSA",14591,14456,135,0,0
"Wichita Falls","TX MSA",3343,2563,80,700,0
"Wilmington","NC MSA",46089,35947,0,0,10142
"Yakima","WA MSA",3962,3666,296,0,0
"York","PA MSA",12295,12295,0,0,0
"Youngstown-Warren","OH MSA",4232,3960,0,0,272
"Yuba City","CA MSA",8227,8227,0,0,0
"Yuma","AZ MSA",13961,13961,0,0,0
"Abilene","TX MSA",2697,2697,0,0,0
"Albany","GA MSA",4359,4359,0,0,0
"Albany-Schenectady-Troy","NYMSA",21123,18759,0,1842,522
"Albuquerque","NM MSA",50633,47041,0,448,3144
"Alexandria","LA MSA",8942,8457,0,485,0
"Allentown-Bethlehem-Easton PA MSA","12187",11877,0,310,0,NA
"Altoona","PA MSA",408,408,0,0,0
"Amarillo","TX MSA",7975,7975,0,0,0
"Anchorage","AK MSA",27250,12651,6647,0,7952
"Anniston","AL MSA",1216,1216,0,0,0
"Appleton-Oshkosh-Neenah","WIMSA",19050,14929,475,150,3496
"Asheville","NC MSA",15172,14536,636,0,0
"Athens","GA MSA",15420,12934,882,0,1604
"Atlanta","GA MSA",470238,464673,415,210,4940
"Auburn-Opelika","AL MSA",9160,2704,966,1040,4450
"Augusta-Aiken","GA-SC MSA",34546,34546,0,0,0
"Austin-San Marcos","TX MSA",65239,59872,2177,2618,572
"Bakersfield","CA MSA",46960,46761,0,199,0
"Bangor","ME MSA",1554,1296,164,94,0
"Barnstable-Yarmouth","MA MSA",7608,7608,0,0,0
"Baton Rouge","LA MSA",12119,12119,0,0,0
"Beaumont-Port Arthur","TX MSA",4304,4155,149,0,0
"Bellingham","WA MSA",16088,13083,257,0,2748
"Benton Harbor","MI MSA",955,955,0,0,0
"Billings","MT MSA",6348,6348,0,0,0
"Biloxi-Gulfport-Pascagoula MS MSA","22726",21509,185,0,1032,NA
"Binghamton","NY MSA",415,415,0,0,0
"Birmingham","AL MSA",63911,63911,0,0,0
"Bismarck","ND MSA",1956,1956,0,0,0
"Bloomington","IN MSA",5812,3864,360,876,712
"Bloomington-Normal","IL MSA",7317,4585,516,785,1431
"Boise City","ID MSA",69585,60884,0,138,8563
"Boston-Worcester-LawrenceMA-NH-ME-CT CMSA","165172",110247,3520,3133,48272,NA
"Brownsville-Harlingen-SanBenito","TX MSA",15721,15285,279,157,0
"Bryan-College Station","TX MSA",11950,10327,0,0,1623
"Buffalo-Niagara Falls","NY MSA",13790,13610,180,0,0
