"county","pmsa","cntyname","pmsaname","pop2k","afact"
"51690"," ","Martinsville city VA"," ",15416,1 
"51700"," ","Newport News city VA"," ",180150,1 
"51710"," ","Norfolk city VA"," ",234403,1 
"51720"," ","Norton city VA"," ",3904,1 
"51730"," ","Petersburg city VA"," ",33740,1 
"51735"," ","Poquoson city VA"," ",11566,1 
"51740"," ","Portsmouth city VA"," ",100565,1 
"51750"," ","Radford city VA"," ",15859,1 
"51760"," ","Richmond city VA"," ",197790,1 
"51770"," ","Roanoke city VA"," ",94911,1 
"51775"," ","Salem city VA"," ",24747,1 
"51790"," ","Staunton city VA"," ",23853,1 
"51800"," ","Suffolk city VA"," ",63677,1 
"51810"," ","Virginia Beach city VA"," ",425257,1 
"51820"," ","Waynesboro city VA"," ",19520,1 
"51830"," ","Williamsburg city VA"," ",11998,1 
"51840"," ","Winchester city VA"," ",23585,1 
"53001"," ","Adams WA"," ",16428,1 
"53003"," ","Asotin WA"," ",20551,1 
"53005"," ","Benton WA"," ",142475,1 
"53007"," ","Chelan WA"," ",66616,1 
"53009"," ","Clallam WA"," ",64525,1 
"53011","6440","Clark WA","Portland-Vancouver, OR-WA (P)",345238,1 
"53013"," ","Columbia WA"," ",4064,1 
"53015"," ","Cowlitz WA"," ",92948,1 
"53017"," ","Douglas WA"," ",32603,1 
"53019"," ","Ferry WA"," ",7260,1 
"53021"," ","Franklin WA"," ",49347,1 
"53023"," ","Garfield WA"," ",2397,1 
"53025"," ","Grant WA"," ",74698,1 
"53027"," ","Grays Harbor WA"," ",67194,1 
"53029","7600","Island WA","Seattle-Bellevue-Everett, WA (P)",71558,1 
"53031"," ","Jefferson WA"," ",25953,1 
"53033","7600","King WA","Seattle-Bellevue-Everett, WA (P)",1737034,1 
"53035","1150","Kitsap WA","Bremerton, WA (P)",231969,1 
"53037"," ","Kittitas WA"," ",33362,1 
"53039"," ","Klickitat WA"," ",19161,1 
"53041"," ","Lewis WA"," ",68600,1 
"53043"," ","Lincoln WA"," ",10184,1 
"53045"," ","Mason WA"," ",49405,1 
"53047"," ","Okanogan WA"," ",39564,1 
"53049"," ","Pacific WA"," ",20984,1 
"53051"," ","Pend Oreille WA"," ",11732,1 
"53053","8200","Pierce WA","Tacoma, WA (P)",700820,1 
"53055"," ","San Juan WA"," ",14077,1 
"53057"," ","Skagit WA"," ",102979,1 
"53059"," ","Skamania WA"," ",9872,1 
"53061","7600","Snohomish WA","Seattle-Bellevue-Everett, WA (P)",606024,1 
"53063"," ","Spokane WA"," ",417939,1 
"53065"," ","Stevens WA"," ",40066,1 
"53067","5910","Thurston WA","Olympia, WA (P)",207355,1 
"53069"," ","Wahkiakum WA"," ",3824,1 
"53071"," ","Walla Walla WA"," ",55180,1 
"53073"," ","Whatcom WA"," ",166814,1 
"53075"," ","Whitman WA"," ",40740,1 
"53077"," ","Yakima WA"," ",222581,1 
"54001"," ","Barbour WV"," ",15557,1 
"54003","8840","Berkeley WV","Washington, DC-MD-VA-WV (P)",75905,1 
"54005"," ","Boone WV"," ",25535,1 
"54007"," ","Braxton WV"," ",14702,1 
"54009"," ","Brooke WV"," ",25447,1 
"54011"," ","Cabell WV"," ",96784,1 
"54013"," ","Calhoun WV"," ",7582,1 
"54015"," ","Clay WV"," ",10330,1 
"54017"," ","Doddridge WV"," ",7403,1 
"54019"," ","Fayette WV"," ",47579,1 
"54021"," ","Gilmer WV"," ",7160,1 
"54023"," ","Grant WV"," ",11299,1 
"54025"," ","Greenbrier WV"," ",34453,1 
"54027"," ","Hampshire WV"," ",20203,1 
"54029"," ","Hancock WV"," ",32667,1 
"54031"," ","Hardy WV"," ",12669,1 
"54033"," ","Harrison WV"," ",68652,1 
"54035"," ","Jackson WV"," ",28000,1 
"54037","8840","Jefferson WV","Washington, DC-MD-VA-WV (P)",42190,1 
"54039"," ","Kanawha WV"," ",200073,1 
"54041"," ","Lewis WV"," ",16919,1 
"54043"," ","Lincoln WV"," ",22108,1 
"54045"," ","Logan WV"," ",37710,1 
"54047"," ","McDowell WV"," ",27329,1 
"54049"," ","Marion WV"," ",56598,1 
"54051"," ","Marshall WV"," ",35519,1 
"54053"," ","Mason WV"," ",25957,1 
"54055"," ","Mercer WV"," ",62980,1 
"54057"," ","Mineral WV"," ",27078,1 
"54059"," ","Mingo WV"," ",28253,1 
"54061"," ","Monongalia WV"," ",81866,1 
"54063"," ","Monroe WV"," ",14583,1 
"54065"," ","Morgan WV"," ",14943,1 
"54067"," ","Nicholas WV"," ",26562,1 
"54069"," ","Ohio WV"," ",47427,1 
"54071"," ","Pendleton WV"," ",8196,1 
"54073"," ","Pleasants WV"," ",7514,1 
"54075"," ","Pocahontas WV"," ",9131,1 
"54077"," ","Preston WV"," ",29334,1 
