"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Tampa-St. Petersburg- Clearwater","FL MSA",2069,1579,42,30,418,18
"Terre Haute","IN MSA",22,22,0,0,0,0
"Texarkana","TX-TexarkanaAR MSA",12,10,2,0,0,0
"Toledo","OH MSA",243,197,10,0,36,1
"Topeka","KS MSA",40,36,4,0,0,0
"Tucson","AZ MSA",729,388,28,3,310,22
"Tulsa","OK MSA",294,281,2,0,11,1
"Tuscaloosa","AL MSA",41,41,0,0,0,0
"Tyler","TX MSA",38,30,0,3,5,1
"Utica-Rome","NY MSA",6,6,0,0,0,0
"Victoria","TX MSA",30,30,0,0,0,0
"Visalia-Tulare-Porterville","CA MSA",182,179,0,3,0,0
"Waco","TX MSA",90,42,2,3,43,3
"Washington-Baltimore","DC-MD- VA-WV CMSA",4334,3618,8,7,701,18
"Waterloo-Cedar Falls","IA MSA",17,17,0,0,0,0
"Wausau","WI MSA",71,69,2,0,0,0
"West Palm Beach-Boca Raton FL MSA","1191",949,0,12,230,20,NA
"Wheeling","WV-OH MSA",1,1,0,0,0,0
"Wichita","KS MSA",199,137,2,0,60,1
"Wichita Falls","TX MSA",27,27,0,0,0,0
"Wilmington","NC MSA",325,284,2,0,39,2
"Yakima","WA MSA",37,35,2,0,0,0
"York","PA MSA",139,127,12,0,0,0
"Youngstown-Warren","OH MSA",118,89,14,10,5,1
"Yuba City","CA MSA",130,130,0,0,0,0
"Yuma","AZ MSA",140,140,0,0,0,0
