"fips_msa","max_hpi","max_time","hpi_2009","time","percent_change","rank"
26380,225.56,2009,225.56,2009,0,345
26420,192.77,2009,192.77,2009,0,346
26580,174.27,2009,174.27,2009,0,347
26980,161.86,2009,161.86,2009,0,348
27180,147.84,2009,147.84,2009,0,349
27340,220.61,2009,220.61,2009,0,350
27620,168.12,2009,168.12,2009,0,351
27900,165.46,2009,165.46,2009,0,352
29180,201.3,2009,201.3,2009,0,353
29340,184.15,2009,184.15,2009,0,354
30140,204.59,2009,204.59,2009,0,355
30780,170.16,2009,170.16,2009,0,356
31140,173.12,2009,173.12,2009,0,357
31180,159.58,2009,159.58,2009,0,358
33660,196.74,2009,196.74,2009,0,359
34060,184.65,2009,184.65,2009,0,360
36420,180.26,2009,180.26,2009,0,361
36980,152.96,2009,152.96,2009,0,362
37900,171.26,2009,171.26,2009,0,363
38300,168.76,2009,168.76,2009,0,364
40380,142.97,2009,142.97,2009,0,365
40580,158.05,2009,158.05,2009,0,366
41140,187.01,2009,187.01,2009,0,367
41700,179.66,2009,179.66,2009,0,368
42540,188.88,2009,188.88,2009,0,369
43340,179.74,2009,179.74,2009,0,370
43580,156.52,2009,156.52,2009,0,371
43620,177.85,2009,177.85,2009,0,372
43900,162.08,2009,162.08,2009,0,373
44940,191.71,2009,191.71,2009,0,374
45060,166.62,2009,166.62,2009,0,375
46140,174,2009,174,2009,0,376
46340,173.54,2009,173.54,2009,0,377
46540,174,2009,174,2009,0,378
47020,176.18,2009,176.18,2009,0,379
47380,169.07,2009,169.07,2009,0,380
48140,178.11,2009,178.11,2009,0,381
48620,161.99,2009,161.99,2009,0,382
49420,176.28,2009,176.28,2009,0,383
25980,NA,NA,180.03,2009,NA,384
