"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Hinesville-Fort Stewart","GA",5,5,0,0,0,2
"Holland-Grand Haven","MI",16,16,0,0,0,2
"Honolulu","HI",122,49,0,0,73,2
"Hot Springs","AR",5,5,0,0,0,2
"Houma-Bayou Cane-Thibodaux","LA",52,52,0,0,0,2
"Houston-Sugar Land-Baytown","TX",3551,2671,24,11,845,2
"Huntington-Ashland","WV-KY-OH",10,5,0,0,5,2
"Huntsville","AL",194,194,0,0,0,2
"Idaho Falls","ID",29,29,0,0,0,2
"Indianapolis-Carmel","IN",659,355,6,0,298,2
"Iowa City","IA",15,15,0,0,0,2
"Ithaca","NY",2,2,0,0,0,2
"Jackson","MI",3,3,0,0,0,2
"Jackson","MS",171,158,2,0,11,2
"Jackson","TN",22,22,0,0,0,2
"Jacksonville","FL",440,400,0,0,40,2
"Jacksonville","NC",118,100,0,3,15,2
"Janesville","WI",15,11,4,0,0,2
"Jefferson City","MO",9,6,0,3,0,2
"Johnson City","TN",44,44,0,0,0,2
"Johnstown","PA",2,2,0,0,0,2
"Jonesboro","AR",16,16,0,0,0,2
"Joplin","MO",4,4,0,0,0,2
"Kalamazoo-Portage","MI",23,21,2,0,0,2
"Kankakee-Bradley","IL",1,1,0,0,0,2
"Kansas City","MO-KS",669,216,30,24,399,2
"Kennewick-Pasco-Richland","WA",61,59,2,0,0,2
"Killeen-Temple-Fort Hood","TX",321,128,14,16,163,2
"Kingsport-Bristol-Bristol","TN-VA",46,33,2,0,11,2
"Kingston","NY",8,8,0,0,0,2
"Knoxville","TN",360,196,0,3,161,2
"Kokomo","IN",1,1,0,0,0,2
"La Crosse","WI-MN",8,8,0,0,0,2
"Lafayette","IN",19,19,0,0,0,2
"Lafayette","LA",94,70,2,0,22,2
"Lake Charles","LA",42,37,0,0,5,2
"Lake Havasu City-Kingman","AZ",79,46,2,31,0,2
"Lakeland-Winter Haven","FL",287,280,0,7,0,2
"Lancaster","PA",60,35,0,0,25,2
"Lansing-East Lansing","MI",21,16,0,0,5,2
"Laredo","TX",100,79,0,7,14,2
"Las Cruces","NM",87,65,0,4,18,2
"Las Vegas-Paradise","NV",1633,401,20,0,1212,2
"Lawrence","KS",11,11,0,0,0,2
