State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
9,METRO14860MM1160,"Bridgeport, CT HUD Metro FMR Area",856,1074,1303,1557,1893,CT,345708
9,METRO14860MM1930,"Danbury, CT HUD Metro FMR Area",1036,1283,1582,1947,2340,CT,183303
9,METRO14860MM8040,"Stamford-Norwalk, CT HUD Metro FMR Area",1215,1469,1867,2461,3198,CT,353556
9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",697,835,1021,1226,1522,CT,1101732
9,METRO25540MM5480,"Southern Middlesex County, CT HUD Metro FMR Area",832,907,1175,1455,1935,CT,46886
9,METRO35300MM1160,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",954,1037,1200,1507,1624,CT,113771
9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",853,968,1169,1399,1599,CT,523037
9,METRO35300MM8880,"Waterbury, CT HUD Metro FMR Area",619,793,953,1142,1220,CT,187200
9,METRO35980M35980,"Norwich-New London, CT HUD Metro FMR Area",722,874,1027,1267,1406,CT,237630
9,METRO35980MM3280,"Colchester-Lebanon, CT HUD Metro FMR Area",710,832,1093,1307,1349,CT,21458
9,NCNTY09005N09005,"Litchfield County, CT",672,863,1035,1326,1644,CT,182193
9,NCNTY09015N09015,"Windham County, CT",617,746,894,1141,1187,CT,109091
10,METRO20100M20100,"Dover, DE MSA",693,752,834,1129,1448,DE,126697
10,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",786,896,1072,1311,1581,DE,500265
10,NCNTY10005N10005,"Sussex County, DE",633,685,765,1095,1128,DE,156638
11,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",1092,1245,1411,1820,2382,DC,572059
12,METRO14600M14600,"Bradenton-Sarasota-Venice, FL MSA",804,880,1059,1352,1486,FL,589959
12,METRO15980M15980,"Cape Coral-Fort Myers, FL MSA",841,921,1050,1439,1479,FL,440888
12,METRO19660M19660,"Deltona-Daytona Beach-Ormond Beach, FL MSA",713,765,949,1224,1261,FL,443343
12,METRO23020M23020,"Fort Walton Beach-Crestview-Destin, FL MSA",665,765,863,1258,1424,FL,170498
12,METRO23540M23540,"Gainesville, FL MSA",647,741,843,1231,1269,FL,232392
12,METRO27260M27260,"Jacksonville, FL HUD Metro FMR Area",726,809,949,1211,1408,FL,1100491
12,METRO27260N12003,"Baker County, FL HUD Metro FMR Area",374,518,577,842,866,FL,22259
12,METRO29460M29460,"Lakeland-Winter Haven, FL MSA",661,722,835,1099,1292,FL,483924
12,METRO33100MM2680,"Fort Lauderdale, FL HUD Metro FMR Area",977,1092,1313,1816,2306,FL,1623018
12,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",907,1031,1236,1602,1887,FL,2253362
12,METRO33100MM8960,"West Palm Beach-Boca Raton, FL HUD Metro FMR Area",936,1096,1294,1830,1885,FL,1131184
12,METRO34940M34940,"Naples-Marco Island, FL MSA",948,1051,1172,1497,1796,FL,251377
12,METRO36100M36100,"Ocala, FL MSA",661,697,800,1097,1129,FL,258916
12,METRO36740M36740,"Orlando-Kissimmee, FL MSA",859,934,1064,1342,1641,FL,1644561
12,METRO37340M37340,"Palm Bay-Melbourne-Titusville, FL MSA",638,786,910,1251,1432,FL,476230
12,METRO37380M37380,"Palm Coast, FL MSA",719,819,1027,1419,1801,FL,49832
12,METRO37460M37460,"Panama City-Lynn Haven, FL MSA",686,708,827,1163,1291,FL,148217
12,METRO37860M37860,"Pensacola-Ferry Pass-Brent, FL MSA",667,726,807,1176,1417,FL,412153
12,METRO38940M38940,"Port St. Lucie, FL MSA",770,776,973,1254,1291,FL,319426
12,METRO39460M39460,"Punta Gorda, FL MSA",656,734,923,1347,1624,FL,141627
