"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"292","San Diego-Carlsbad-San Marcos,* CA","71877",63650,865,2614,4748
"293","San Francisco-Oakland-Fremont,* CA","320200",89226,4580,0,226394
"294","San Jose-Sunnyvale-Santa Clara,* CA","34103",29136,0,0,4967
"295","San Luis Obispo-Paso Robles, CA","7363",7029,334,0,0
"296","Sandusky, OH","0",0,0,0,0
"297","Santa Barbara-Santa Maria, CA","2815",2815,0,0,0
"298","Santa Cruz-Watsonville, CA","2305",2305,0,0,0
"299","Santa Fe,* NM","2000",2000,0,0,0
"300","Santa Rosa-Petaluma, CA","17278",13068,245,425,3540
"301","Savannah, GA","22211",22211,0,0,0
"302","Scranton--Wilkes-Barre, PA","3098",3098,0,0,0
"303","Seattle-Tacoma-Bellevue,* WA","271563",167929,10007,10813,82814
"304","Sebastian-Vero Beach,* FL","27689",27129,0,560,0
"305","Sheboygan, WI","1272",1041,0,0,231
"306","Sherman-Denison, TX","163",163,0,0,0
"307","Shreveport-Bossier City, LA","25197",12039,0,0,13158
"308","Sioux City, IA-NE-SD","4471",4471,0,0,0
"309","Sioux Falls, SD","25669",18234,426,2623,4386
"310","South Bend-Mishawaka, IN-MI","9058",8739,0,0,319
"311","Spartanburg, SC","11925",11925,0,0,0
"312","Spokane, WA","16692",13257,0,0,3435
"313","Springfield, IL","3302",2713,589,0,0
"314","Springfield, MA","15877",6550,0,0,9327
"315","Springfield, MO","20879",14947,595,0,5337
"316","Springfield, OH","1602",1602,0,0,0
"317","St. Cloud, MN","6572",5832,299,0,441
"318","St. George, UT","13163",12569,0,0,594
"319","St. Joseph, MO-KS","1135",535,600,0,0
"320","St. Louis,* MO-IL","131945",109184,614,2904,19243
"321","State College, PA","4067",4067,0,0,0
"322","Stockton,* CA","17606",17606,0,0,0
"323","Sumter,* SC","2243",2243,0,0,0
"324","Syracuse, NY","12117",11587,0,0,530
"325","Tallahassee, FL","19681",16881,765,0,2035
"326","Tampa-St. Petersburg-Clearwater,* FL","97770",66325,420,2100,28925
"327","Terre Haute, IN","1513",865,191,0,457
"328","Texarkana, TX-Texarkana, AR","1795",1306,176,0,313
"329","Toledo, OH","14258",12743,600,0,915
"330","Topeka, KS","9737",9557,180,0,0
"331","Trenton-Ewing,* NJ","5751",4079,312,0,1360
"332","Tucson,* AZ","76430",74414,398,304,1314
"333","Tulsa,* OK","56821",56139,682,0,0
"334","Tuscaloosa, AL","11840",8061,0,0,3779
"335","Tyler, TX","3334",3103,0,0,231
"336","Utica-Rome, NY","155",155,0,0,0
"337","Valdosta, GA","6603",6603,0,0,0
"338","Vallejo-Fairfield, CA","8161",6665,246,0,1250
"339","Victoria, TX","1058",1058,0,0,0
"340","Vineland-Millville-Bridgeton,* NJ","7086",6632,0,0,454
"341","Virginia Beach-Norfolk-Newport News,*  VA-NC","60954",53667,846,200,6241
"342","Visalia-Porterville, CA","30835",30757,78,0,0
"343","Waco, TX","7433",7433,0,0,0
"344","Warner Robins, GA","9139",9139,0,0,0
"345","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","206028",181529,2210,0,22289
"346","Waterloo-Cedar Falls, IA","5763",5253,510,0,0
"347","Wausau, WI","5347",1822,190,0,3335
"348","Weirton-Steubenville, WV-OH","879",879,0,0,0
"349","Wenatchee, WA","7357",7357,0,0,0
"350","Wheeling, WV-OH","0",0,0,0,0
"351","Wichita Falls, TX","3385",2023,0,0,1362
"352","Wichita, KS","24507",22629,304,0,1574
"353","Williamsport, PA","306",306,0,0,0
"354","Wilmington,* NC","64669",57895,478,0,6296
"355","Winchester, VA-WV","7612",7612,0,0,0
"356","Winston-Salem, NC","24180",24180,0,0,0
"357","Worcester, MA","9550",9550,0,0,0
"358","Yakima, WA","5169",4809,0,360,0
"359","York-Hanover, PA","26393",17870,0,0,8523
"360","Youngstown-Warren-Boardman, OH-PA","6847",6397,100,0,350
"361","Yuba City, CA","2901",2901,0,0,0
"362","Yuma, AZ","4931",4706,225,0,0
