"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"246","Owensboro, KY","794",794,0,0,0
"247","Oxnard-Thousand Oaks-Ventura, CA","4685",3003,0,463,1219
"248","Palm Bay-Melbourne-Titusville,* FL","17667",17667,0,0,0
"249","Palm Coast, FL","2748",2748,0,0,0
"250","Panama City-Lynn Haven, FL","3273",3182,91,0,0
"251","Parkersburg-Marietta-Vienna, WV-OH","1305",1305,0,0,0
"252","Pascagoula, MS","4300",4300,0,0,0
"253","Pensacola-Ferry Pass-Brent,* FL","15447",15447,0,0,0
"254","Peoria, IL","7544",7026,0,0,518
"255","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","71606",61210,589,964,8843
"256","Phoenix-Mesa-Scottsdale,* AZ","85450",69205,131,0,16114
"257","Pine Bluff, AR","258",258,0,0,0
"258","Pittsburgh,* PA","33654",26425,559,1291,5379
"259","Pittsfield, MA","52",52,0,0,0
"260","Pocatello, ID","1422",1236,0,186,0
"261","Port St. Lucie,* FL","7348",6740,0,0,608
"262","Portland-South Portland-Biddeford,  ME","12222",11412,0,0,810
"263","Portland-Vancouver-Beaverton,* OR-WA","49268",35474,0,1979,11815
"264","Poughkeepsie-Newburgh-Middletown,  NY","6985",6730,0,0,255
"265","Prescott, AZ","10333",4717,228,485,4903
"266","Providence-New Bedford-Fall River,  RI-MA","16428",15709,107,0,612
"267","Provo-Orem, UT","8552",7674,0,878,0
"268","Pueblo,* CO","3338",3338,0,0,0
"269","Punta Gorda,* FL","2483",2483,0,0,0
"270","Racine, WI","2634",2634,0,0,0
"271","Raleigh-Cary,* NC","53068",39816,1002,0,12250
"272","Rapid City, SD","2906",2906,0,0,0
"273","Reading, PA","2928",2414,0,0,514
"274","Redding, CA","2002",2002,0,0,0
"275","Reno-Sparks,* NV","8132",8132,0,0,0
"276","Richmond,* VA","36555",35362,0,563,630
"277","Riverside-San Bernardino-Ontario,*  CA","101376",69666,0,427,31283
"278","Roanoke, VA","4483",4483,0,0,0
"279","Rochester, MN","6760",6760,0,0,0
"280","Rochester, NY","15720",14735,0,360,625
"281","Rockford, IL","2632",1982,650,0,0
"282","Rocky Mount, NC","1690",1690,0,0,0
"283","Rome, GA","628",628,0,0,0
"284","Sacramento--Arden-Arcade--Roseville,*  CA","71364",52202,0,0,19162
"285","Saginaw-Saginaw Township North, MI","315",315,0,0,0
"286","Salem, OR","3173",2828,345,0,0
"287","Salinas, CA","3264",1099,800,0,1365
"288","Salisbury, MD","1558",739,0,0,819
"289","Salt Lake City,* UT","38133",22362,198,552,15021
"290","San Angelo,* TX","2841",2841,0,0,0
"291","San Antonio,* TX","73510",53899,0,0,19611
"292","San Diego-Carlsbad-San Marcos,* CA","46656",30185,302,0,16169
"293","San Francisco-Oakland-Fremont,* CA","84296",40019,246,1080,42951
"294","San Jose-Sunnyvale-Santa Clara,* CA","11463",10504,0,0,959
"295","San Luis Obispo-Paso Robles, CA","7979",7979,0,0,0
"296","Sandusky, OH","0",0,0,0,0
"297","Santa Barbara-Santa Maria, CA","2751",2751,0,0,0
"298","Santa Cruz-Watsonville, CA","1062",1062,0,0,0
"299","Santa Fe,* NM","800",800,0,0,0
"300","Santa Rosa-Petaluma, CA","6152",5851,301,0,0
"301","Savannah, GA","15588",15588,0,0,0
"302","Scranton--Wilkes-Barre, PA","2173",2173,0,0,0
"303","Seattle-Tacoma-Bellevue,* WA","87652",51281,3371,394,32606
"304","Sebastian-Vero Beach,* FL","7102",7102,0,0,0
"305","Sheboygan, WI","2895",135,260,0,2500
"306","Sherman-Denison, TX","0",0,0,0,0
"307","Shreveport-Bossier City, LA","5433",5433,0,0,0
"308","Sioux City, IA-NE-SD","1518",1518,0,0,0
"309","Sioux Falls, SD","13816",5491,328,0,7997
"310","South Bend-Mishawaka, IN-MI","9495",5295,0,0,4200
"311","Spartanburg, SC","5655",5655,0,0,0
"312","Spokane, WA","6529",3807,0,1759,963
"313","Springfield, IL","2457",2457,0,0,0
"314","Springfield, MA","4654",3807,847,0,0
"315","Springfield, MO","8142",5974,370,0,1798
"316","Springfield, OH","2150",610,0,1540,0
"317","St. Cloud, MN","2637",2322,0,0,315
"318","St. George, UT","4720",4631,89,0,0
"319","St. Joseph, MO-KS","960",960,0,0,0
"320","St. Louis,* MO-IL","46529",45423,267,190,649
"321","State College, PA","1764",1564,200,0,0
"322","Stockton,* CA","6841",6841,0,0,0
"323","Sumter,* SC","1140",1140,0,0,0
"324","Syracuse, NY","4214",4018,196,0,0
"325","Tallahassee, FL","9039",8149,0,0,890
"326","Tampa-St. Petersburg-Clearwater,* FL","86292",58292,0,0,28000
"327","Terre Haute, IN","821",821,0,0,0
"328","Texarkana, TX-Texarkana, AR","301",301,0,0,0
"329","Toledo, OH","8342",7382,0,564,396
"330","Topeka, KS","4533",4233,0,300,0
"331","Trenton-Ewing,* NJ","3803",3803,0,0,0
"332","Tucson,* AZ","19433",18789,199,0,445
"333","Tulsa,* OK","14417",14417,0,0,0
"334","Tuscaloosa, AL","10432",2092,0,0,8340
"335","Tyler, TX","1290",1059,0,0,231
"336","Utica-Rome, NY","0",0,0,0,0
"337","Valdosta, GA","3039",2474,120,0,445
"338","Vallejo-Fairfield, CA","6388",6388,0,0,0
"339","Victoria, TX","453",453,0,0,0
"340","Vineland-Millville-Bridgeton,* NJ","2624",2170,0,0,454
"341","Virginia Beach-Norfolk-Newport News,*  VA-NC","27825",23495,770,620,2940
"342","Visalia-Porterville, CA","12170",6570,0,438,5162
"343","Waco, TX","2511",2511,0,0,0
"344","Warner Robins, GA","4319",4319,0,0,0
"345","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","107167",97331,0,0,9836
"346","Waterloo-Cedar Falls, IA","6090",6090,0,0,0
"347","Wausau, WI","1619",1619,0,0,0
"348","Weirton-Steubenville, WV-OH","103",103,0,0,0
"349","Wenatchee, WA","2644",2644,0,0,0
"350","Wheeling, WV-OH","0",0,0,0,0
"351","Wichita Falls, TX","1427",1427,0,0,0
"352","Wichita, KS","14689",14186,503,0,0
"353","Williamsport, PA","180",180,0,0,0
"354","Wilmington,* NC","32624",28148,239,0,4237
"355","Winchester, VA-WV","2375",2375,0,0,0
"356","Winston-Salem, NC","5262",5262,0,0,0
"357","Worcester, MA","6905",6295,610,0,0
"358","Yakima, WA","2758",2758,0,0,0
"359","York-Hanover, PA","4282",3708,0,0,574
"360","Youngstown-Warren-Boardman, OH-PA","2616",1665,227,286,438
"361","Yuba City, CA","468",468,0,0,0
"362","Yuma, AZ","4045",4045,0,0,0
