"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"337","Valdosta, GA","8791",8619,172,0,0
"338","Vallejo-Fairfield, CA","332",332,0,0,0
"339","Victoria, TX","850",850,0,0,0
"340","Vineland-Millville-Bridgeton,* NJ","2869",2869,0,0,0
"341","Virginia Beach-Norfolk-Newport News,*  VA-NC","95417",68344,725,0,26348
"342","Visalia-Porterville, CA","28309",27021,364,924,0
"343","Waco, TX","5806",5806,0,0,0
"344","Warner Robins, GA","8425",8425,0,0,0
"345","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","208676",150095,0,0,58581
"346","Waterloo-Cedar Falls, IA","5469",5469,0,0,0
"347","Wausau, WI","4051",3641,0,0,410
"348","Weirton-Steubenville, WV-OH","477",477,0,0,0
"349","Wenatchee, WA","6387",6387,0,0,0
"350","Wheeling, WV-OH","0",0,0,0,0
"351","Wichita Falls, TX","2454",1684,170,600,0
"352","Wichita, KS","26939",24772,1330,0,837
"353","Williamsport, PA","0",0,0,0,0
"354","Wilmington,* NC","59630",58211,0,524,895
"355","Winchester, VA-WV","10774",10774,0,0,0
"356","Winston-Salem, NC","27652",26322,0,0,1330
"357","Worcester, MA","19410",18392,280,738,0
"358","Yakima, WA","3039",3039,0,0,0
"359","York-Hanover, PA","19675",19675,0,0,0
"360","Youngstown-Warren-Boardman, OH-PA","9114",8914,200,0,0
"361","Yuba City, CA","4139",4139,0,0,0
"362","Yuma, AZ","11459",11459,0,0,0
