"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month","Year"
"Dallas-Fort Worth","TX CMSA",3082,2930,6,10,136,2,2000
"Danville","VA MSA",30,30,0,0,0,2,2000
"Davenport-Moline-Rock Island","IA-IL MSA",38,25,0,4,9,2,2000
"Dayton-Springfield","OH MSA",130,126,0,4,0,2,2000
"Daytona Beach","FL MSA",344,335,4,0,5,2,2000
"Decatur","Al MSA",40,35,0,0,5,2,2000
"Decatur","IL MSA",14,14,0,0,0,2,2000
"Denver-Boulder-Greeley","CO CMSA",2096,1649,10,16,421,2,2000
"Des Moines","IA MSA",157,129,0,8,20,2,2000
"Detroit-Ann Arbor-Flint","MI CMSA",1532,1383,42,22,85,2,2000
"Dothan","AL MSA",38,38,0,0,0,2,2000
"Dover","DE MSA",56,56,0,0,0,2,2000
"Dubuque","IA MSA",25,11,2,0,12,2,2000
"Duluth-Superior","MN-WI MSA",29,22,2,0,5,2,2000
"Eau Claire","WI MSA",25,23,2,0,0,2,2000
"El Paso","TX MSA",449,307,14,128,0,2,2000
"Elkhart-Goshen","IN MSA",65,65,0,0,0,2,2000
"Elmira","NY MSA",4,4,0,0,0,2,2000
"Enid","OK MSA",6,6,0,0,0,2,2000
"Erie","PA MSA",20,20,0,0,0,2,2000
"Eugene-Springfield","OR MSA",115,100,6,4,5,2,2000
"Evansville-Henderson","IN-KY MSA",185,88,4,0,93,2,2000
"Fargo-Moorhead","ND-MN MSA",7,5,2,0,0,2,2000
"Fayetteville","NC MSA",278,64,0,0,214,2,2000
"Fayetteville-Springdale- Rogers","AR MSA",428,186,2,4,236,2,2000
"Flagstaff","AZ-UT MSA",32,32,0,0,0,2,2000
"Florence","AL MSA",20,20,0,0,0,2,2000
"Florence","SC MSA",51,44,0,0,7,2,2000
"Fort Collins-Loveland","CO MSA",233,191,0,7,35,2,2000
"Fort Myers-Cape Coral","FL MSA",721,397,32,75,217,2,2000
"Fort Pierce-Port St. Lucie","FL MSA",183,179,4,0,0,2,2000
