"stateFIPS","countyFIPS","total","vac","nostat","vac_days","nostat_days"
"16","073",2740,0,391,0,242179
"16","075",8584,119,621,55039,352982
"16","077",2741,107,235,49199,146560
"16","079",3708,325,477,168902,312913
"16","081",2113,0,305,0,154171
"16","083",29697,245,1500,137832,850889
"16","085",1636,0,349,0,182306
"16","087",4107,98,331,26641,195928
"17","001",29858,1045,2233,475487,1420703
"17","003",4541,423,1451,276622,1149085
"17","005",6875,139,630,73894,352584
"17","007",21590,294,2865,81049,1717736
"17","009",2311,57,181,29883,124933
"17","011",14259,339,2901,160584,2080635
"17","013",1784,11,256,1810,135226
"17","015",8209,387,1394,219554,965613
"17","017",5893,200,838,87338,536222
"17","019",85104,2003,6102,736028,2875685
"17","021",14289,622,972,303029,488935
"17","023",7520,235,655,123488,386466
"17","025",7526,108,2248,51159,1789763
"17","027",13672,329,1053,125971,683679
"17","029",22675,931,904,388988,549219
"17","031",2051892,93674,52394,34708893,23308348
"17","033",8591,438,623,198122,359988
"17","035",4283,2,535,626,263707
"17","037",43864,521,6372,179520,4141577
"17","039",7054,362,800,173411,389800
"17","041",8319,287,622,134449,346590
"17","043",364956,7914,8668,2551612,4804482
"17","045",8061,464,563,216381,335747
"17","047",3199,78,323,36159,173287
"17","049",14671,254,833,100066,414077
"17","051",8056,346,765,132710,441953
"17","053",5740,225,444,102736,291329
"17","055",17670,836,1100,396239,585021
"17","057",15532,584,2456,252601,1772457
"17","059",1653,4,378,360,232558
"17","061",5914,406,364,197349,195828
"17","063",19372,263,1559,96162,922497
"17","065",3698,103,570,56128,344208
"17","067",8486,294,1271,136131,851945
"17","069",1166,0,242,0,150137
"17","071",2828,5,1113,986,880824
"17","073",22204,713,2446,347359,1767298
"17","075",10730,184,1124,82814,715554
"17","077",28596,1056,2766,494770,1579751
"17","079",4179,125,338,63437,182968
"17","081",17345,595,1506,265119,866075
"17","083",12632,208,3790,76949,3080509
"17","085",12399,429,2500,213889,1636608
"17","087",5255,1,843,482,474962
"17","089",181471,4365,12677,1497934,7277832
"17","091",46921,1597,4424,568470,2806634
"17","093",39411,256,5507,68914,3241840
"17","095",23686,1130,2513,523678,1802930
"17","097",271444,7395,15448,2482238,9929693
"17","099",49715,1679,4206,747494,2678627
"17","101",6631,329,381,170969,178552
"17","103",14816,430,1699,195507,955807
"17","105",15524,373,2103,155994,1460402
"17","107",11779,517,1443,236497,970167
"17","109",14577,388,1748,163852,1242630
"17","111",122750,1701,10709,528026,6184948
"17","113",75521,1889,9131,639407,7004678
"17","115",51944,3138,3345,1483531,2091829
"17","117",20698,871,1445,377872,724357
"17","119",117895,5597,4235,2545792,2627019
"17","121",18941,855,1960,440185,1149411
"17","123",6283,93,2036,33407,1608566
"17","125",6860,208,1253,80289,667796
"17","127",7144,231,737,118341,352243
"17","129",7867,85,3300,36926,2609567
"17","131",6445,101,1196,37650,814855
"17","133",13296,174,816,71285,513265
"17","135",11610,486,825,243765,488652
"17","137",15175,655,1156,260907,647863
"17","139",5502,140,440,55336,284742
"17","141",22982,460,3061,186510,2028178
"17","143",84900,4631,4611,1795751,2834262
"17","145",9034,446,707,206387,379637
"17","147",6004,104,737,36876,326969
"17","149",9267,248,3447,99046,2666003
"17","151",1218,0,193,0,94409
"17","153",2720,127,447,85429,288138
"17","155",3138,2,1564,97,1211545
"17","157",12749,430,1147,168081,745657
"17","159",7464,324,467,160269,285000
"17","161",66128,2593,3003,1001057,1759523
"17","163",119426,6411,8441,2882602,5089726
"17","165",12161,366,1191,200308,705978
"17","167",92744,4770,6943,1947108,3647841
"17","169",3137,94,288,42526,186175
"17","171",2422,47,534,26548,264802
"17","173",8412,192,953,90554,669007
"17","175",2753,56,1055,23331,853297
"17","177",22410,1241,2370,622078,1629039
"17","179",58130,1513,5431,600105,3426366
"17","181",7152,140,696,65952,389483
"17","183",34973,2320,1778,1055840,882175
"17","185",5575,192,458,95314,251039
"17","187",7713,292,932,125349,572776
"17","189",5677,64,501,17326,265575
"17","191",6834,243,646,95051,315660
"17","193",6921,279,771,152682,523199
"17","195",25986,856,1844,346800,1173154
"17","197",256416,3822,24218,1183732,14496600
"17","199",29556,953,2056,416861,1095627
"17","201",130480,5992,8187,2113575,5189940
"17","203",18370,151,5181,61522,3925224
"18","001",12902,671,605,277615,392972
"18","003",155834,10970,5132,4550414,3609474
"18","005",32149,1058,1657,334337,949837
"18","007",3098,105,314,45833,123530
"18","009",6552,518,404,265694,277265
