"msa_code","city","state","label"
"26740","Hutchinson","KS","HtchnsKS"
"26780","Hutchinson","MN","HtchnsMN"
"26820","Idaho Falls","ID","IdhFllID"
"26860","Indiana","PA","IndianPA"
"26900","Indianapolis","IN","IndnplIN"
"26940","Indianola","MS","IndinlMS"
"26980","Iowa City","IA","IowCtyIA"
"27020","Iron Mountain","MI","IrnMntMI"
"27060","Ithaca","NY","IthacaNY"
"27100","Jackson","MI","JacksnMI"
"27140","Jackson","MS","JacksnMS"
"27180","Jackson","TN","JacksnTN"
"27220","Jackson","WY","JacksnWY"
"27260","Jacksonville","FL","JcksnvFL"
"27300","Jacksonville","IL","JcksnvIL"
"27340","Jacksonville","NC","JcksnvNC"
"27380","Jacksonville","TX","JcksnvTX"
"27420","Jamestown","ND","JmstwnND"
"27460","Jamestown","NY","JmstwnNY"
"27500","Janesville","WI","JnsvllWI"
"27540","Jasper","IN","JasperIN"
"27580","Jayuya","PR","JayuyaPR"
"27620","Jefferson City","MO","JffrsCMO"
"27660","Jennings","LA","JnnngsLA"
"27700","Jesup","GA","JesupGA"
"27740","Johnson City","TN","JhnsnCTN"
"27780","Johnstown","PA","JhnstwPA"
"27860","Jonesboro","AR","JonsbrAR"
"27900","Joplin","MO","JoplinMO"
"27940","Juneau","AK","JuneauAK"
"27980","Kahului","HI","KahuluHI"
"28020","Kalamazoo","MI","KalamzMI"
"28060","Kalispell","MT","KlspllMT"
"28100","Kankakee","IL","KankakIL"
"28140","Kansas City","MO","KnssCtMO"
"28180","Kapaa","HI","KapaaHI"
"28260","Kearney","NE","KearnyNE"
"28300","Keene","NH","KeeneNH"
"28340","Kendallville","IN","KndllvIN"
"28380","Kennett","MO","KennttMO"
"28420","Kennewick","WA","KnnwckWA"
"28500","Kerrville","TX","KrrvllTX"
"28540","Ketchikan","AK","KtchknAK"
"28580","Key West","FL","KeyWstFL"
"28620","Kill Devil Hills","NC","KllDvHNC"
"28660","Killeen","TX","KillenTX"
"28700","Kingsport","TN","KngsprTN"
"28740","Kingston","NY","KngstnNY"
"28780","Kingsville","TX","KngsvlTX"
"28820","Kinston","NC","KinstnNC"
"28860","Kirksville","MO","KrksvlMO"
"28900","Klamath Falls","OR","KlmthFOR"
"28940","Knoxville","TN","KnxvllTN"
"28980","Kodiak","AK","KodiakAK"
"29020","Kokomo","IN","KokomoIN"
"29060","Laconia","NH","LaconiNH"
"29100","La Crosse","WI","LCrossWI"
"29140","Lafayette","IN","LafyttIN"
"29180","Lafayette","LA","LafyttLA"
"29220","La Follette","TN","LFllttTN"
"29260","La Grande","OR","LGrandOR"
"29300","LaGrange","GA","LaGrngGA"
"29340","Lake Charles","LA","LkChrlLA"
"29380","Lake City","FL","LakCtyFL"
"29420","Lake Havasu City","AZ","LkHvsCAZ"
"29460","Lakeland","FL","LaklndFL"
"29500","Lamesa","TX","LamesaTX"
"29540","Lancaster","PA","LncstrPA"
"29580","Lancaster","SC","LncstrSC"
"29620","Lansing","MI","LansngMI"
"29660","Laramie","WY","LaramiWY"
"29700","Laredo","TX","LaredoTX"
"29740","Las Cruces","NM","LsCrcsNM"
"29780","Las Vegas","NM","LasVgsNM"
"29820","Las Vegas","NV","LasVgsNV"
"29860","Laurel","MS","LaurelMS"
"29900","Laurinburg","NC","LrnbrgNC"
"29940","Lawrence","KS","LawrncKS"
"29980","Lawrenceburg","TN","LwrncbTN"
"30020","Lawton","OK","LawtonOK"
"30060","Lebanon","MO","LebannMO"
"30100","Lebanon","NH","LebannNH"
"30140","Lebanon","PA","LebannPA"
"30220","Levelland","TX","LvllndTX"
"30260","Lewisburg","PA","LwsbrgPA"
"30280","Lewisburg","TN","LwsbrgTN"
"30300","Lewiston","ID","LewstnID"
"30340","Lewiston","ME","LewstnME"
"30380","Lewistown","PA","LwstwnPA"
"30420","Lexington","NE","LxngtnNE"
"30460","Lexington","KY","LxngtnKY"
"30500","Lexington Park","MD","LxngtPMD"
"30580","Liberal","KS","LiberlKS"
"30620","Lima","OH","LimaOH"
"30660","Lincoln","IL","LinclnIL"
"30700","Lincoln","NE","LinclnNE"
"30740","Lincolnton","NC","LnclntNC"
"30780","Little Rock","AR","LttlRcAR"
"30820","Lock Haven","PA","LckHvnPA"
"30860","Logan","UT","LoganUT"
"30900","Logansport","IN","LgnsprIN"
"30940","London","KY","LondonKY"
"30980","Longview","TX","LongvwTX"
"31020","Longview","WA","LongvwWA"
"31060","Los Alamos","NM","LsAlmsNM"
"31100","Los Angeles","CA","LsAnglCA"
"31140","Louisville/Jefferson County","KY","Lsv/JCKY"
"31180","Lubbock","TX","LubbckTX"
"31260","Lufkin","TX","LufkinTX"
"31300","Lumberton","NC","LmbrtnNC"
"31340","Lynchburg","VA","LynchbVA"
"31380","Macomb","IL","MacombIL"
"31420","Macon","GA","MaconGA"
"31460","Madera","CA","MaderaCA"
"31500","Madison","IN","MadisnIN"
"31540","Madison","WI","MadisnWI"
"31580","Madisonville","KY","MdsnvlKY"
"31620","Magnolia","AR","MagnolAR"
"31660","Malone","NY","MaloneNY"
"31700","Manchester","NH","MnchstNH"
"31740","Manhattan","KS","MnhttnKS"
"31820","Manitowoc","WI","MantwcWI"
"31860","Mankato","MN","MankatMN"
"31900","Mansfield","OH","MnsfldOH"
"31940","Marinette","WI","MarnttWI"
"31980","Marion","IN","MarionIN"
"32020","Marion","OH","MarionOH"
"32060","Marion","IL","MarionIL"
"32100","Marquette","MI","MarqttMI"
"32140","Marshall","MN","MarshllMN"
"32180","Marshall","MO","MarshllMO"
"32220","Marshall","TX","MarshllTX"
"32260","Marshalltown","IA","MrshlltIA"
"32270","Marshfield","WI","MrshflWI"
"32280","Martin","TN","MartinTN"
"32300","Martinsville","VA","MrtnsvVA"
"32340","Maryville","MO","MryvllMO"
"32380","Mason City","IA","MsnCtyIA"
"32460","Mayfield","KY","MayfldKY"
"32500","Maysville","KY","MysvllKY"
"32540","McAlester","OK","McAlstOK"
"32580","McAllen","TX","McAllnTX"
"32620","McComb","MS","McCombMS"
"32660","McMinnville","TN","McMnnvTN"
"32700","McPherson","KS","McPhrsKS"
"32740","Meadville","PA","MedvllPA"
"32780","Medford","OR","MedfrdOR"
"32820","Memphis","TN","MemphsTN"
"32860","Menomonie","WI","MenomnWI"
"32900","Merced","CA","MercedCA"
"32940","Meridian","MS","MeridnMS"
"32980","Merrill","WI","MerrllWI"
"33020","Mexico","MO","MexicoMO"
"33060","Miami","OK","MiamiOK"
"33100","Miami","FL","MiamiFL"
"33140","Michigan City","IN","MchgnCIN"
"33180","Middlesborough","KY","MddlsbKY"
"33220","Midland","MI","MidlndMI"
"33260","Midland","TX","MidlndTX"
"33300","Milledgeville","GA","MlldgvGA"
"33340","Milwaukee","WI","MilwakWI"
"33380","Minden","LA","MindenLA"
"33420","Mineral Wells","TX","MnrlWlTX"
"33460","Minneapolis","MN","MnnplsMN"
"33500","Minot","ND","MinotND"
"33540","Missoula","MT","MissolMT"
"33580","Mitchell","SD","MtchllSD"
"33620","Moberly","MO","MobrlyMO"
"33660","Mobile","AL","MobileAL"
"33700","Modesto","CA","ModestCA"
"33740","Monroe","LA","MonroeLA"
"33780","Monroe","MI","MonroeMI"
"33820","Monroe","WI","MonroeWI"
"33860","Montgomery","AL","MntgmrAL"
"33940","Montrose","CO","MontrsCO"
"33980","Morehead City","NC","MrhdCtNC"
"34020","Morgan City","LA","MrgnCtLA"
"34060","Morgantown","WV","MrgntwWV"
"34100","Morristown","TN","MrrstwTN"
"34140","Moscow","ID","MoscowID"
"34180","Moses Lake","WA","MossLkWA"
"34220","Moultrie","GA","MoultrGA"
"34260","Mountain Home","AR","MntnHmAR"
"34300","Mountain Home","ID","MntnHmID"
"34340","Mount Airy","NC","MntAryNC"
"34380","Mount Pleasant","MI","MntPlsMI"
"34420","Mount Pleasant","TX","MntPlsTX"
"34460","Mount Sterling","KY","MntStrKY"
"34500","Mount Vernon","IL","MntVrnIL"
"34540","Mount Vernon","OH","MntVrnOH"
"34580","Mount Vernon","WA","MntVrnWA"
"34620","Muncie","IN","MuncieIN"
"34660","Murray","KY","MurrayKY"
"34700","Muscatine","IA","MusctnIA"
"34740","Muskegon","MI","MuskgnMI"
"34780","Muskogee","OK","MuskogOK"
"34820","Myrtle Beach","SC","MyrtlBSC"
"34860","Nacogdoches","TX","NcgdchTX"
"34900","Napa","CA","NapaCA"
"34940","Naples","FL","NaplesFL"
"34980","Nashville","TN","NshvllTN"
"35020","Natchez","MS","NatchzMS"
"35060","Natchitoches","LA","NtchtcLA"
"35100","New Bern","NC","NewBrnNC"
"35140","Newberry","SC","NwbrrySC"
"35220","New Castle","IN","NwCstlIN"
"35260","New Castle","PA","NwCstlPA"
"35300","New Haven","CT","NewHvnCT"
"35340","New Iberia","LA","NewIbrLA"
"35380","New Orleans","LA","NwOrlnLA"
"35420","New Philadelphia","OH","NwPhldOH"
"35460","Newport","TN","NewprtTN"
"35500","Newton","IA","NewtonIA"
"35580","New Ulm","MN","NewUlmMN"
"35620","New York","NY","NewYrkNY"
"35660","Niles","MI","NilesMI"
"35700","Nogales","AZ","NogalsAZ"
"35740","Norfolk","NE","NorflkNE"
"35820","North Platte","NE","NrthPlNE"
"35860","North Vernon","IN","NrthVrIN"
"35900","North Wilkesboro","NC","NrthWlNC"
"35940","Norwalk","OH","NorwlkOH"
"35980","Norwich","CT","NorwchCT"
"36020","Oak Harbor","WA","OkHrbrWA"
"36060","Oak Hill","WV","OakHllWV"
"36100","Ocala","FL","OcalaFL"
"36140","Ocean City","NJ","OcnCtyNJ"
"36180","Ocean Pines","MD","OcnPnsMD"
"36220","Odessa","TX","OdessaTX"
"36260","Ogden","UT","OgdenUT"
"36300","Ogdensburg","NY","OgdnsbNY"
"36340","Oil City","PA","OilCtyPA"
"36380","Okeechobee","FL","OkechbFL"
"36420","Oklahoma City","OK","OklhmCOK"
"36460","Olean","NY","OleanNY"
"36500","Olympia","WA","OlympiWA"
"36540","Omaha","NE","OmahaNE"
"36580","Oneonta","NY","OneontNY"
"36620","Ontario","OR","OntariOR"
"36660","Opelousas","LA","OpelssLA"
"36700","Orangeburg","SC","OrngbrSC"
"36740","Orlando","FL","OrlandFL"
"36780","Oshkosh","WI","OshkshWI"
"36820","Oskaloosa","IA","OskalsIA"
"36860","Ottawa","IL","OttawaIL"
"36900","Ottumwa","IA","OttumwIA"
"36940","Owatonna","MN","OwatnnMN"
"36980","Owensboro","KY","OwnsbrKY"
"37020","Owosso","MI","OwossoMI"
"37060","Oxford","MS","OxfordMS"
"37100","Oxnard","CA","OxnardCA"
"37140","Paducah","KY","PaduchKY"
"37220","Pahrump","NV","PahrmpNV"
"37260","Palatka","FL","PalatkFL"
"37300","Palestine","TX","PalstnTX"
