"city","state","msa_fips","fips","year","total","tourism","growth","percent_tourism","percent_growth","fips_st","fips_place","latitude","longitude"
"Columbia","SC","17980",17980,2006,10026,353,0,3.52,0,45,16000,34.039236,-80.886341
"Columbia","SC","17980",17980,2001,8363,241,0,2.88,0,45,16000,34.039236,-80.886341
"Columbus","GA","18020",18020,2001,2967,134,361,4.52,12.17,NA,NA,NA,NA
"Columbus","GA","18020",18020,2002,2938,138,321,4.7,10.93,NA,NA,NA,NA
"Columbus","GA","18020",18020,2003,3025,136,275,4.5,9.09,NA,NA,NA,NA
"Columbus","GA","18020",18020,2004,3303,0,278,0,8.42,NA,NA,NA,NA
"Columbus","GA","18020",18020,2005,3426,67,273,1.96,7.97,NA,NA,NA,NA
"Columbus","GA","18020",18020,2006,3640,70,279,1.92,7.66,NA,NA,NA,NA
"Columbus","IN","18140",18140,2001,69975,4094,14127,5.85,20.19,18,14734,39.210652,-85.913377
"Columbus","IN","18140",18140,2003,75237,4639,14163,6.17,18.82,18,14734,39.210652,-85.913377
"Columbus","IN","18140",18140,2002,73440,4374,14367,5.96,19.56,18,14734,39.210652,-85.913377
"Columbus","IN","18140",18140,2005,82170,4968,15018,6.05,18.28,18,14734,39.210652,-85.913377
"Columbus","IN","18140",18140,2006,85514,5208,15092,6.09,17.65,18,14734,39.210652,-85.913377
"Columbus","IN","18140",18140,2004,79063,4854,14873,6.14,18.81,18,14734,39.210652,-85.913377
"Columbus","OH","18580",18580,2006,14352,1170,2001,8.15,13.94,39,18000,39.988933,-82.987381
"Columbus","OH","18580",18580,2004,12349,960,1606,7.77,13.01,39,18000,39.988933,-82.987381
"Columbus","OH","18580",18580,2001,9979,819,1387,8.21,13.9,39,18000,39.988933,-82.987381
"Columbus","OH","18580",18580,2005,13034,1062,1779,8.15,13.65,39,18000,39.988933,-82.987381
"Columbus","OH","18580",18580,2003,11261,956,1592,8.49,14.14,39,18000,39.988933,-82.987381
"Columbus","OH","18580",18580,2002,10431,900,1442,8.63,13.82,39,18000,39.988933,-82.987381
"Corpus Christi","TX","18700",18700,2005,3370,149,307,4.42,9.11,48,17000,27.705728,-97.292827
"Corpus Christi","TX","18700",18700,2004,3445,144,288,4.18,8.36,48,17000,27.705728,-97.292827
"Corpus Christi","TX","18700",18700,2001,2409,117,249,4.86,10.34,48,17000,27.705728,-97.292827
"Corpus Christi","TX","18700",18700,2003,2956,134,292,4.53,9.88,48,17000,27.705728,-97.292827
"Corpus Christi","TX","18700",18700,2006,3532,156,332,4.42,9.4,48,17000,27.705728,-97.292827
"Corpus Christi","TX","18700",18700,2002,2764,125,271,4.52,9.8,48,17000,27.705728,-97.292827
