"fips_st","state","owner_occ","total","per_owner","year"
46,"SD",4283,5946,72.0316178943828,2003
46,"SD",4261,5882,72.4413464807889,2004
46,"SD",2415,3194,75.6105197244834,2005
46,"SD",2469,3216,76.7723880597015,2006
46,"SD",2477,3244,76.3563501849568,2007
47,"TN",2181,2941,74.1584495069704,2000
47,"TN",6686,9055,73.8376587520707,2001
47,"TN",6078,8106,74.9814951887491,2002
47,"TN",6880,9111,75.51311601361,2003
47,"TN",6971,9134,76.3192467703087,2004
47,"TN",18902,24885,75.9574040586699,2005
47,"TN",18981,25040,75.802715654952,2006
47,"TN",19305,25384,76.051843681059,2007
48,"TX",5999,8633,69.4891694660026,2000
48,"TX",17364,24916,69.6901589340183,2001
48,"TX",15952,22352,71.3672154617037,2002
48,"TX",17975,25129,71.5309005531458,2003
48,"TX",18243,25269,72.1951798646563,2004
48,"TX",60576,83472,72.5704427832087,2005
48,"TX",61043,84474,72.2624712929422,2006
48,"TX",62269,86095,72.3259190429177,2007
49,"UT",867,1149,75.4569190600522,2000
49,"UT",2982,3888,76.6975308641975,2001
49,"UT",2788,3607,77.2941502633768,2002
49,"UT",3133,4017,77.9935275080906,2003
49,"UT",3119,4064,76.7470472440945,2004
49,"UT",6407,8202,78.1150938795416,2005
49,"UT",6612,8404,78.6768205616373,2006
49,"UT",6747,8624,78.2351576994434,2007
51,"VA",2631,3623,72.6193762075628,2000
51,"VA",8312,11334,73.3368625374978,2001
51,"VA",7491,10178,73.5999213990961,2002
51,"VA",8395,11256,74.5824449182658,2003
51,"VA",8514,11368,74.8944405348346,2004
51,"VA",22533,30187,74.6447146122503,2005
51,"VA",22637,30392,74.4834166886023,2006
51,"VA",22851,30757,74.295282374744,2007
50,"VT",663,905,73.2596685082873,2000
50,"VT",2746,3688,74.4577006507592,2001
50,"VT",2615,3466,75.4472013848817,2002
50,"VT",2880,3841,74.9804738349388,2003
50,"VT",3075,4001,76.8557860534866,2004
50,"VT",1978,2504,78.9936102236422,2005
50,"VT",2015,2522,79.8969072164949,2006
50,"VT",2028,2522,80.4123711340206,2007
53,"WA",2099,3069,68.3936135549039,2000
53,"WA",6634,9646,68.7746216048103,2001
53,"WA",6020,8674,69.4028130043809,2002
53,"WA",6855,9783,70.0705305121129,2003
53,"WA",6976,9964,70.0120433560819,2004
53,"WA",18235,25279,72.1349736935797,2005
53,"WA",18401,25556,72.00266082329,2006
53,"WA",18742,25880,72.41885625966,2007
55,"WI",2161,3020,71.5562913907285,2000
55,"WI",6887,9508,72.433740008414,2001
55,"WI",6450,8775,73.5042735042735,2002
55,"WI",7168,9621,74.5036898451304,2003
55,"WI",7221,9573,75.4308994045754,2004
55,"WI",18437,23049,79.9904551173587,2005
55,"WI",18494,23116,80.0051912095518,2006
55,"WI",18663,23336,79.9751456976346,2007
54,"WV",704,886,79.4582392776524,2000
54,"WV",5543,7041,78.7246129811106,2001
54,"WV",4869,6136,79.351368970013,2002
54,"WV",5486,6880,79.7383720930233,2003
54,"WV",5161,6519,79.1685841386716,2004
54,"WV",6093,7793,78.1855511356345,2005
54,"WV",6050,7805,77.5144138372838,2006
54,"WV",6085,7775,78.2636655948553,2007
56,"WY",771,1017,75.811209439528,2000
56,"WY",2659,3663,72.5907725907726,2001
56,"WY",2507,3413,73.4544389100498,2002
56,"WY",2970,3910,75.9590792838875,2003
56,"WY",2833,3814,74.278972207656,2004
56,"WY",1644,2134,77.0384254920337,2005
56,"WY",1662,2175,76.4137931034483,2006
56,"WY",1653,2189,75.513933302878,2007
