"stateFIPS","countyFIPS","total","vac","nostat","vac_days","nostat_days"
13,237,11956,1001,996,638164,878471
13,239,1624,157,226,100030,197836
13,241,8264,600,716,414540,476601
13,243,4791,254,2233,66476,770234
13,245,93301,6547,5593,4065557,4883809
13,247,34957,1469,2701,581767,2305062
13,249,1464,73,314,35926,303024
13,251,6374,707,339,413626,270932
13,253,4561,155,953,97874,863829
13,255,28420,1723,2230,874596,1666768
13,257,23620,1232,11732,733942,5961702
13,259,1317,88,89,48369,73962
13,261,14272,839,1823,471409,1450704
13,263,1869,145,204,78697,164096
13,265,1005,33,257,24493,243688
13,267,8174,832,1180,474982,613015
13,269,2835,441,645,234275,672912
13,271,2482,28,2112,17165,66029
13,273,4378,462,333,339635,250925
13,275,20726,1334,2127,824726,2000098
13,277,17255,502,1852,301558,1395868
13,279,12382,1087,801,646841,488297
13,281,6846,911,998,687586,701537
13,283,4334,205,2038,69082,1038110
13,285,28869,1479,1698,1020987,1466899
13,287,4193,444,584,347329,522817
13,289,4203,238,705,113043,475071
13,291,11692,2122,422,1214725,320326
13,293,12800,675,582,408066,523783
13,295,30248,2045,2078,1128382,1695066
13,297,36164,1482,5277,621702,4541194
13,299,17411,1514,1465,1187987,1248025
13,301,3975,256,1669,177241,1549846
13,303,9129,735,931,402115,644780
13,305,14076,1318,1687,861282,636729
13,307,684,118,64,92789,43619
13,309,950,137,61,109863,39509
13,311,11824,1100,1343,739260,1170827
13,313,39955,2526,3062,1137806,1804738
13,315,2905,363,248,300470,159832
13,317,5465,414,1067,299697,684507
13,319,4052,370,543,244490,413788
13,321,9981,655,1449,398361,1406922
15,1,49361,2813,4860,2031309,3979553
15,3,344245,8756,19292,4172794,17136703
15,5,0,0,0,0,0
15,7,15055,116,1778,109358,1653509
15,9,52616,401,6825,255517,6506586
16,1,162391,3261,9591,1306076,6433340
16,3,837,1,89,1062,42962
16,5,31878,1127,1232,722436,904181
16,7,2113,184,153,118074,126415
16,9,3221,92,440,32185,276883
16,11,14094,179,702,60686,401148
16,13,2125,0,271,0,150202
16,15,3162,0,627,0,515863
16,17,14866,129,2328,51316,1348589
16,19,39096,1023,2197,367924,1544360
16,21,5214,0,2534,0,1191462
16,23,861,0,145,0,101541
16,25,123,0,12,0,6860
16,27,69545,1501,5042,494504,2705279
16,29,2520,177,312,87881,271694
16,31,7317,208,402,131306,304096
16,33,104,0,35,0,22359
16,35,2310,0,476,0,195718
16,37,833,1,277,14,209999
16,39,11212,548,1414,165493,1265402
16,41,4049,59,308,24138,219415
16,43,3599,101,324,50864,277065
16,45,6832,156,391,89293,247252
16,47,4940,71,371,30967,224926
16,49,5246,169,1079,93190,1110688
16,51,7776,42,713,17252,489354
16,53,7842,96,578,48377,386597
16,55,57007,449,3897,200203,2451568
16,57,14268,242,855,116763,653174
16,59,3335,171,281,96850,198302
16,61,2028,3,957,2761,576206
16,63,1317,0,117,0,61769
16,65,11293,105,1025,35065,966011
16,67,7212,114,351,92678,256844
16,69,16508,387,290,246073,207196
16,71,1828,97,215,72989,192183
16,73,2807,0,400,0,331734
16,75,8617,132,618,60029,472987
16,77,2761,109,253,54274,207869
16,79,3696,344,662,235574,480059
16,81,2330,0,1236,0,347567
16,83,30347,406,1699,185788,1080413
16,85,1725,0,420,0,295926
16,87,4120,79,324,35845,272186
17,1,30139,915,2443,590615,2139283
17,3,4709,430,1546,386834,1696724
17,5,7002,155,779,75645,546663
17,7,21799,337,2992,110211,2555779
17,9,2335,55,245,38447,182607
17,11,14511,343,3314,195080,2998177
17,13,1824,10,282,2425,222235
17,15,8522,437,1709,299933,1645915
17,17,5926,182,880,131206,797455
17,19,86532,1765,7363,951152,4939812
17,21,14708,576,1410,377166,852459
