"fips","total","vac","nostat","vac_days","nostat_days"
12103,510838,27449,21892,11348518,14534005
12105,301216,8165,42845,2951647,28266284
12107,37594,1439,10181,620342,8868300
12109,93361,3584,11156,1375250,6734497
12111,140867,10475,11753,3314190,7658933
12113,68979,3299,7345,1519823,5662676
12115,237401,8228,21555,2348705,13159940
12117,181779,7075,8594,2448545,5604220
12119,45983,2559,5766,640714,3209234
12121,23098,1852,2232,879480,1368918
12123,8956,746,905,383551,660465
12125,6357,144,2526,75887,2269936
12127,255046,12174,15783,4356902,10503820
12129,11723,666,927,181148,549980
12131,42583,1803,6889,668721,4637587
12133,10431,737,1246,320639,806135
13001,8356,1051,446,598789,303609
13003,2471,55,973,20952,736805
13005,4952,540,334,266675,231679
13007,851,4,127,1313,85539
13009,21612,1615,1987,841959,1263697
13011,6967,346,864,195989,506506
13013,28178,953,3040,412404,1997333
13015,41135,1380,3618,667770,2330976
13017,8363,416,986,255154,619044
13019,9534,452,2985,187055,1408920
13021,75299,6646,3988,3309497,2573372
13023,7961,357,3395,150562,2445996
13025,4404,469,232,205380,150437
13027,7008,629,655,257756,428057
13029,11512,444,756,170599,424879
13031,27722,1395,1738,639569,1262875
13033,9926,786,900,354886,557036
13035,9143,709,613,301688,331876
13037,1946,128,569,34821,476664
13039,21756,1196,2152,487346,1366606
13043,4935,522,1197,168610,714453
13045,48227,2616,4144,1171275,2898231
13047,26632,939,1205,408239,722402
13049,4305,291,354,177209,278677
13051,118558,5159,7314,2125255,4413699
13053,3361,405,201,130681,140801
13055,10854,557,739,324169,468606
13057,88045,1858,8345,757142,5145878
13059,52488,2061,3272,865026,1981036
13061,999,81,261,28635,206520
13063,112047,5962,6026,2535381,3900770
13065,3292,258,693,95579,609804
13067,292165,9915,13188,3400058,7873588
13069,17783,1445,1781,638627,1439021
13071,19085,1040,2272,459239,1462387
13073,47416,1296,3517,514408,2035885
13075,7156,572,1055,260750,743020
13077,48109,1553,2607,629904,1740257
13079,4646,318,378,111843,207583
13081,10294,718,750,355078,466589
13083,6503,359,683,228767,461101
13085,9900,621,1237,410485,931752
13087,13052,518,1451,289764,962947
13089,306670,12226,10602,5461342,5846846
13091,8824,455,1217,272558,787445
13093,3454,385,229,211184,136327
13095,43400,2072,3222,952284,2458699
13097,55182,1928,4920,635647,3356295
13099,5857,529,1271,285207,1104707
13101,1138,118,18,49599,5889
13103,18516,762,1210,266739,682556
13105,9017,481,516,279085,316182
13107,9655,867,1162,488404,474884
13109,4014,201,261,94286,144550
13111,10503,1032,950,581039,592876
13113,41977,900,1916,412354,1475177
13115,41562,2717,2646,1104058,1750463
13117,72607,1267,12048,588229,8141149
13119,10273,839,887,518520,598788
13121,430562,21705,28166,12948086,16164650
13123,13111,1013,853,738981,557562
13125,1426,192,74,105217,53943
13127,41799,2246,4577,1330451,3002019
13129,22453,1026,1667,488354,1119063
13131,11636,575,1362,310997,1004337
13133,8330,435,730,200608,510841
13135,305309,6372,16722,2296052,10017962
13137,16785,849,1541,462879,996734
13139,71722,2344,7781,1122042,4996177
13141,5976,201,2471,103975,2161267
13143,12848,941,1129,472716,596613
13145,12239,248,1167,86762,689306
13147,12756,628,1264,359210,719082
13149,4846,320,244,183395,108934
13151,84658,2776,11397,847986,7732799
13153,63091,2896,5992,1268498,3919253
13155,4155,306,394,168497,268324
13157,28801,1116,5810,602189,4218303
13159,6015,159,686,68946,428863
13161,6176,539,533,282568,321154
13163,6770,706,1024,384296,661324
13165,3899,441,349,212606,206798
13167,2043,21,1546,8281,253248
13169,11590,415,1381,149489,939844
13171,7545,424,448,223757,284404
13173,3507,334,352,173506,213641
13175,22425,1394,2438,641094,1633080
13177,11149,281,590,92602,374889
13179,25537,1831,1821,619505,1117351
13181,3840,155,399,75081,218017
13183,2181,7,73,3383,39922
13185,48232,2009,5998,978816,3651199
13187,12059,848,505,510627,258374
13189,9561,880,336,380837,229650
13191,3051,122,1398,65385,239102
13193,4033,445,376,249177,291238
13195,11318,537,946,240957,523238
13197,3693,284,951,95804,748468
13199,8884,524,975,303053,573897
13201,3145,183,431,48662,338214
13205,9780,585,1111,274268,865150
13207,10201,628,649,331672,400260
13209,2919,264,358,140994,164244
13211,7605,202,842,113041,509891
13213,16026,1101,981,567435,527996
13215,85647,4553,4123,2269748,2549247
13217,42289,1658,4726,786351,2882245
13219,14028,226,2279,82498,1631384
13221,5597,228,564,113662,295470
13223,57105,1537,7401,617355,4681004
13225,11245,485,1278,186201,689216
13227,15967,474,1676,191106,1319139
13229,8301,598,583,308847,391342
13231,6407,281,597,134332,233674
13233,17418,591,1058,321069,661716
13235,3615,237,275,157907,155165
13237,11634,851,942,455620,666394
13239,1563,141,190,63206,150262
13241,8011,615,601,369006,326252
13243,2051,31,1750,6659,195913
13245,92464,6741,4820,3255342,3636787
13247,34760,1263,2605,451711,1696338
13249,1416,72,287,19477,228261
13251,6267,643,323,302170,205244
13253,4413,139,896,71258,669147
13255,27536,1659,1549,735227,1009502
13257,17663,955,11013,537511,2782481
13259,1403,144,127,90170,79468
13261,13920,793,1647,339519,1062960
13263,1829,124,182,46530,118808
